text,size
crashed,3215
aircraft,2484
plane,1867
pilot,1293
flight,1176
engine,946
approach,944
runway,917
failure,881
crew,812
landing,734
airport,629
altitude,611
weather,606
mountain,559
takeoff,548
conditions,540
taking,536
land,523
struck,510
unknown,510
control,505
ground,496
cargo,476
route,455
miles,439
attempting,433
ft,411
en,403
left,360
poor,357
lost,346
shortly,346
accident,341
air,334
loss,333
right,329
fog,329
killed,324
failed,317
feet,312
fuel,310
low,306
short,302
flying,299
terrain,297
wing,281
trees,271
emergency,264
captain,256
power,255
error,247
high,247
area,247
minutes,236
descent,234
caused,233
vfr,231
hit,229
sea,223
rain,215
improper,212
maintain,206
heavy,205
flew,193
turn,187
cause,186
helicopter,186
did,185
crash,185
visibility,179
water,178
engines,175
resulted,174
instrument,172
broke,172
continued,169
flames,168
speed,164
stalled,163
airplane,163
procedures,161
aboard,161
adverse,161
contributing,159
burned,156
attempted,155
collided,152
time,150
shot,149
collision,149
final,145
descended,144
nose,142
attempt,141
lack,141
visual,139
gear,139
night,139
turbulence,138
field,137
pilots,137
took,135
icing,134
decision,132
near,130
hill,130
inadequate,129
caught,128
reported,127
severe,126
course,125
ifr,125
resulting,124
causing,121
mt,121
climb,121
mountains,121
make,120
stall,120
led,118
fatigue,117
undetermined,116
making,114
landed,113
passengers,112
minimum,112
snow,109
passenger,107
went,106
factors,106
reasons,106
wreckage,104
return,104
clearance,102
mountainous,99
exploded,99
height,98
attitude,97
named,96
descending,96
burst,95
possible,94
dc,94
tried,94
midair,94
following,93
end,93
disappeared,93
steep,92
propeller,92
position,92
maintenance,91
later,91
atc,90
entered,89
thunderstorm,89
river,88
use,88
level,85
ocean,84
military,83
contact,82
follow,82
command,80
procedure,80
forced,79
north,79
overran,79
training,78
cabin,78
radio,78
airspeed,76
cockpit,75
avoid,75
dive,75
lake,75
winds,75
second,74
carrying,74
safe,74
island,74
tail,74
ran,74
ice,74
rate,74
unable,73
warning,73
just,72
fly,72
clouds,72
factor,71
ils,71
radar,71
elevator,70
began,70
tower,69
km,68
south,68
occurred,67
missed,66
prescribed,65
approximately,65
proper,65
impacted,64
overloaded,64
operation,64
came,64
fuselage,64
base,63
destination,63
ditched,63
result,62
airliner,62
bank,62
adequate,62
experienced,62
wooded,61
force,61
jet,60
experiencing,60
flaps,60
crashing,59
fl,59
planning,59
main,58
rudder,58
navigational,58
losing,57
followed,57
strong,57
properly,57
killing,57
rotor,57
thunderstorms,57
separation,57
action,56
mile,56
city,55
prior,55
explosion,55
aborted,55
instruments,55
excessive,55
condition,54
thrust,54
controls,54
disorientation,53
destroyed,53
officer,53
rolled,52
impact,52
fighter,52
separated,52
building,52
cloud,52
windshear,52
center,52
ridge,52
structural,51
diverted,51
able,51
pitch,51
lights,51
lines,51
ceiling,51
inadvertent,51
east,50
san,50
insufficient,50
non,50
clear,50
new,50
cessna,50
international,50
oil,50
climbing,50
members,50
peak,50
canyon,49
west,49
planes,49
company,49
maneuver,49
leading,49
storm,49
rest,48
wings,48
surface,48
gain,48
encountered,48
path,48
tank,47
mail,47
jungle,47
initiated,46
recovery,46
design,46
used,46
inverted,46
decided,46
safely,46
wrong,45
tree,45
turned,45
spatial,45
door,45
degrees,45
observed,45
descend,45
meteorological,45
trying,45
soon,45
bay,45
suffered,45
seconds,45
bomb,44
wind,44
approaching,44
houses,44
airborne,44
electrical,44
stop,44
returning,44
point,44
nm,44
subsequent,44
departure,43
reduced,43
line,43
smoke,43
reference,43
slope,43
positioning,42
continue,42
trouble,42
half,42
normal,42
problems,42
sufficient,42
possibly,41
determined,41
rising,41
incorrect,41
known,41
sank,40
rear,40
fell,40
lightning,40
range,40
striking,39
encountering,39
dark,39
safety,39
missile,39
f,39
instead,39
days,39
navigation,39
premature,39
allowed,38
open,38
flightcrew,38
available,38
forest,38
mid,38
banked,38
witnesses,38
immediately,38
monitor,38
problem,38
malfunction,38
touched,37
roll,37
small,37
holding,37
lose,37
threshold,37
critical,37
rebels,37
forward,37
weight,37
snowstorm,37
light,37
heading,36
started,36
port,36
faa,36
spin,35
hours,35
pressure,35
t,35
covered,35
died,35
house,35
inspection,35
trim,35
cleared,35
suddenly,35
message,34
st,34
having,34
probable,34
missing,34
required,34
northeast,34
dense,34
direction,34
degree,34
stabilizer,34
improperly,33
pass,33
explosive,33
mountainside,33
pitched,33
veered,33
initial,33
reverse,33
check,33
scheduled,33
detonation,33
lower,33
angle,33
vertical,32
past,32
shut,32
la,32
clipper,32
starvation,32
way,32
equipment,32
likely,32
aft,32
gravity,32
pattern,32
uncontrollable,32
misjudged,31
blade,31
damage,31
people,31
maneuvering,31
survived,31
slid,31
distance,31
coast,31
aviation,31
maintained,31
operating,31
imc,31
altimeter,31
leaving,31
anti,30
northwest,30
m,30
correct,30
seat,30
personnel,30
hour,30
extended,30
running,30
alternate,30
atlantiocean,30
meters,30
flown,30
hold,29
elevation,29
information,29
sightseeing,29
away,29
applied,29
fence,29
type,29
hillside,29
judgement,29
uncontrolled,29
feathered,29
controller,29
copilot,29
climbed,28
section,28
experience,28
loaded,28
placed,28
forces,28
maximum,28
reason,28
station,28
starboard,28
approved,28
including,28
exceeded,28
reaching,28
faulty,28
performance,28
divert,28
mission,28
instructions,28
vor,27
team,27
disintegrated,27
minima,27
complete,27
device,27
mechanical,27
test,27
heard,27
ditch,27
attempts,27
bad,27
hard,27
b,27
national,27
cashed,27
n,27
deteriorating,27
related,27
plunged,26
service,26
malfunctioning,26
standard,26
received,26
hand,26
southwest,26
recover,26
horizontal,26
probably,26
cruise,26
overshot,26
reached,26
c,26
