text,size
crashed,174
plane,130
aircraft,66
runway,52
cargo,40
land,38
approach,35
airport,33
taking,33
attempting,32
engine,30
shot,29
landing,29
takeoff,27
pilot,25
crew,23
flight,23
short,21
failure,21
shortly,20
poor,20
minutes,17
route,16
ground,16
weather,16
carrying,15
en,15
air,15
mountain,15
emergency,15
rebels,14
return,14
lost,14
unknown,13
icing,12
crash,12
fuel,12
miles,12
fog,12
altitude,12
failed,11
struck,11
control,10
tried,10
km,10
burned,10
missile,9
high,9
heavy,9
caught,9
afghan,9
right,9
area,9
caused,8
stalled,8
flew,8
overran,8
conditions,8
engines,8
visibility,7
causing,7
rain,7
left,7
power,7
n,6
led,6
flames,6
military,6
forest,6
aborted,6
sandstorm,6
forced,6
snow,6
wing,6
trees,6
sea,6
contact,6
losing,6
field,6
landed,6
winds,5
make,5
reported,5
strong,5
destination,5
broke,5
overloaded,5
attempt,5
went,5
training,5
atc,5
positioning,5
ran,5
mountainous,5
hit,5
anti,5
near,5
error,5
descent,5
unita,5
flying,5
low,5
mountains,5
attempted,5
time,5
wooded,4
did,4
separation,4
passengers,4
radar,4
making,4
fl,4
killed,4
hill,4
aboard,4
feet,4
final,4
gear,4
second,4
forces,4
attempts,4
river,4
surface,4
lose,4
oscillations,4
dense,4
disappeared,4
north,4
midair,4
lack,3
force,3
crashing,3
tire,3
veered,3
visual,3
fly,3
wrong,3
popay,3
course,3
break,3
structural,3
experiencing,3
malfunction,3
ft,3
luanda,3
base,3
turn,3
pilots,3
number,3
airborne,3
pakistani,3
aileron,3
later,3
m,3
mechanical,3
hillside,3
running,3
decided,3
explosion,3
pattern,3
accident,3
height,3
improper,3
oil,3
ocean,3
severe,3
relief,3
just,3
unable,3
clipped,3
descending,3
loss,3
tons,3
tower,3
transport,3
prisoners,3
gain,3
pitched,3
trying,3
holding,3
prepared,3
fell,3
died,3
building,3
thunderstorms,3
lucapa,2
improperly,2
tamil,2
nose,2
tail,2
saw,2
returning,2
attemping,2
cause,2
small,2
section,2
overshot,2
undershot,2
change,2
technical,2
impacted,2
flamed,2
resulting,2
encountering,2
followed,2
suddenly,2
market,2
use,2
troops,2
hospital,2
peru,2
flap,2
propellers,2
stabilizer,2
indicated,2
monitoring,2
collision,2
end,2
regions,2
leased,2
dive,2
began,2
thunderstorm,2
horizontal,2
lines,2
truck,2
pulled,2
soon,2
blocked,2
outer,2
bank,2
fuselage,2
house,2
hard,2
witness,2
autopilot,2
houses,2
rebel,2
corrosion,2
finland,2
striking,2
ditch,2
open,2
diverting,2
jet,2
exploded,2
took,2
required,2
tree,2
stall,2
kilometers,2
isiro,2
angle,2
able,2
equipment,2
square,2
divert,2
trace,2
radio,2
soldiers,2
tshikapa,2
gulf,2
flights,2
black,2
touched,2
dc,2
approaching,2
burst,2
away,2
state,2
difficulties,2
missing,2
rolled,2
avoid,2
passenger,2
loaded,2
turkey,2
airliner,2
entered,2
exhaustion,2
aviation,2
spin,2
premature,2
adverse,2
slammed,2
overweight,2
moment,2
patterns,2
neighborhood,2
mid,2
sources,2
residential,2
