text,size
aircraft,325
crashed,202
plane,202
crew,149
runway,131
approach,92
flight,92
airport,87
landing,86
pilot,73
engine,72
failure,63
altitude,51
land,49
control,49
air,48
miles,47
taking,47
feet,46
takeoff,45
ft,44
attempting,43
struck,42
ground,40
captain,38
killed,38
accident,37
fuel,36
caused,36
weather,34
left,33
broke,33
cargo,31
aboard,31
rudder,31
short,30
descent,29
high,29
right,27
failed,27
named,27
poor,27
shortly,26
emergency,26
fog,25
did,25
mountain,25
hit,25
area,25
minutes,25
flying,24
pilots,24
wing,23
speed,23
lost,23
rate,22
fl,22
atc,21
passengers,21
rain,20
error,20
continued,20
took,19
flames,19
landed,19
heavy,19
thrust,19
lake,19
loss,19
attempt,18
passenger,18
power,18
causing,18
b,18
conditions,18
warning,18
engines,17
water,17
descended,17
turn,17
attitude,17
exploded,17
led,17
safely,17
position,17
excessive,17
end,16
gear,16
tank,16
descending,16
international,16
cockpit,16
cause,16
unknown,16
cabin,16
clipper,16
force,15
just,15
time,15
dive,15
tower,15
trees,15
burned,15
nose,15
route,15
resulted,14
attempted,14
course,14
airliner,14
sea,14
resulting,14
explosive,14
mt,13
approximately,13
make,13
contributing,13
non,13
salt,13
collided,13
severe,13
lack,13
collision,13
use,13
crash,13
procedures,13
went,12
ran,12
snow,12
roll,12
en,12
maneuver,12
caught,12
field,12
planes,12
climb,12
visibility,12
flew,12
device,12
second,11
reported,11
ils,11
near,11
hijacked,11
explosion,11
tokyo,11
city,11
radar,11
missed,11
base,11
overran,11
stall,11
fatigue,11
airspeed,11
north,11
placed,11
lights,10
new,10
separated,10
came,10
height,10
night,10
officer,10
training,10
burst,10
instruments,10
initiated,10
detonation,10
hill,10
improper,10
used,10
required,10
stalled,10
valve,10
controls,10
center,10
procedure,9
cessna,9
correct,9
seat,9
instrument,9
seconds,9
low,9
midair,9
tried,9
hard,9
river,9
vor,9
separation,9
hijackers,9
final,9
terrain,9
forward,9
wooded,8
damage,8
safe,8
aborted,8
message,8
stop,8
bay,8
descend,8
cincinnati,8
level,8
visual,8
fly,8
t,8
incorrect,8
peak,8
followed,8
door,8
airplane,8
jet,8
maintenance,8
properly,8
sink,8
boeing,8
autopilot,8
times,8
steep,8
r,8
problem,8
inadequate,8
errors,7
hold,7
recovery,7
damaged,7
wrong,7
jungle,7
vfr,7
bank,7
l,7
forces,7
bomb,7
rolled,7
received,7
diverted,7
hand,7
possible,7
possibly,7
old,7
fuselage,7
making,7
turned,7
cleared,7
later,7
mountains,7
killing,7
direction,7
ignition,7
generator,7
building,7
faa,7
fence,7
action,7
corrected,7
departure,7
malfunction,7
safety,7
leading,7
warnings,7
clear,7
hitting,7
turbulence,7
collapsed,7
electrical,7
fighter,7
instead,7
thunderstorm,7
south,7
attributed,7
began,7
thought,7
reaching,7
pressure,7
entered,7
localizer,6
disorientation,6
climbed,6
smoke,6
jetliner,6
eventually,6
servo,6
design,6
forced,6
touched,6
dc,6
away,6
il,6
ocean,6
flaps,6
disappeared,6
fell,6
died,6
suffered,6
touchdown,6
heard,6
monitor,6
main,6
year,6
disintegrated,6
given,6
normal,6
wiring,6
pan,6
climbing,6
holding,6
lightning,6
tail,6
beacon,6
taken,6
klm,6
return,6
attendant,6
compartment,6
km,6
impact,6
reverse,6
precision,6
alert,6
clearance,6
injuries,6
decision,6
sounded,6
winds,6
degree,6
inoperative,6
f,6
aft,6
lines,6
shut,6
reached,6
michigan,6
pattern,6
closed,6
controller,6
rest,6
indications,6
officially,5
undershot,5
taxiway,5
maintain,5
destroyed,5
break,5
embankment,5
distance,5
manner,5
contact,5
atlantiocean,5
circled,5
contacted,5
despite,5
report,5
reference,5
canyon,5
suddenly,5
meters,5
dense,5
burbank,5
bound,5
trim,5
check,5
evasive,5
mile,5
southwest,5
minute,5
switch,5
navigation,5
working,5
believed,5
abort,5
man,5
el,5
travis,5
computer,5
slope,5
crashing,5
west,5
situation,5
extended,5
touch,5
rear,5
ifr,5
pylon,5
island,5
airline,5
los,5
strong,5
trying,5
program,5
th,5
mph,5
past,5
hours,5
prior,5
minimum,5
information,5
house,5
houses,5
airborne,5
passed,5
experienced,5
indicator,5
probably,5
altimeter,5
repair,5
timely,5
chicago,5
following,5
leaving,5
windshear,5
started,5
occurred,5
slid,5
light,5
degrees,5
day,5
g,5
management,5
shallow,5
tire,5
injured,5
proper,5
angeles,5
insufficient,5
gain,5
delhi,4
succession,4
told,4
path,4
reports,4
vapors,4
drowned,4
plunged,4
provide,4
faulty,4
manuals,4
baggage,4
wind,4
structural,4
oxygen,4
standard,4
returning,4
service,4
cushions,4
radio,4
adequate,4
decided,4
result,4
said,4
unable,4
southeast,4
applied,4
vibration,4
wings,4
apart,4
people,4
opposite,4
ice,4
floor,4
activated,4
icing,4
athens,4
modified,4
crashes,4
mail,4
execute,4
didn,4
bursting,4
cairo,4
canada,4
factors,4
dispatched,4
long,4
open,4
san,4
track,4
shot,4
slow,4
awareness,4
subsequent,4
ntsb,4
anti,4
airlines,4
trafficontrol,4
characteristics,4
n,4
decompression,4
scheduled,4
psa,4
using,4
critical,4
pitot,4
pitched,4
pull,4
knots,4
antenna,4
ingestion,4
improperly,4
condition,4
operating,4
actually,4
good,4
stopped,4
dulles,4
flightcrew,4
elevator,4
station,4
determined,4
procedural,4
ravine,4
hillside,4
factor,4
actions,4
c,4
point,4
reasons,4
sight,4
associated,4
application,4
desert,4
initiating,4
transmission,4
inspection,4
malfunctioning,4
veered,4
carrying,4
carried,4
stabilizer,4
reoriented,4
located,4
including,4
inverted,4
york,4
reverser,4
mountainous,4
operational,4
hijacking,4
national,4
recognize,4
surface,4
terrorist,4
member,4
northwest,4
proximity,4
residential,4
immediately,4
washington,4
dme,4
limit,4
illusion,4
accidents,4
cruising,3
encounter,3
heading,3
contributed,3
cali,3
indicated,3
woman,3
kabul,3
executed,3
deck,3
japan,3
combination,3
volcano,3
wheel,3
series,3
navy,3
encountering,3
created,3
primary,3
showed,3
bounced,3
metal,3
attempts,3
execution,3
shutting,3
twice,3
observed,3
fail,3
confusion,3
skidded,3
dry,3
aviation,3
seven,3
perimeter,3
fighters,3
starboard,3
spread,3
east,3
manual,3
losing,3
inside,3
tip,3
rolling,3
misread,3
suicide,3
trouble,3
detonated,3
rome,3
impacted,3
dropped,3
allowed,3
likely,3
st,3
pitch,3
adhesive,3
terrorists,3
adequately,3
ultimately,3
investigation,3
standby,3
carry,3
engineer,3
performance,3
certification,3
threshold,3
soon,3
arrival,3
blame,3
jfk,3
wake,3
disconnected,3
premature,3
commanded,3
different,3
manila,3
running,3
inability,3
actress,3
foot,3
recorder,3
braking,3
manufacturer,3
strip,3
metroliner,3
spatial,3
included,3
having,3
revealed,3
case,3
neighborhood,3
stick,3
known,3
v,3
stated,3
breaking,3
rapidly,3
detected,3
systems,3
number,3
sucked,3
operation,3
ditch,3
navigational,3
members,3
positioning,3
circuit,3
guam,3
optical,3
pcu,3
spoiler,3
set,3
probable,3
coordination,3
available,3
missing,3
distress,3
boy,3
thirty,3
comparator,3
flown,3
lower,3
edge,3
airspace,3
aloha,3
deliberately,3
continue,3
indication,3
grenades,3
delta,3
russian,3
attaining,3
newhall,3
bogota,3
korean,3
exercise,3
commercial,3
extreme,3
uncommanded,3
missile,3
pieces,3
usair,3
numerous,3
subsequently,3
practice,3
slide,3
approaches,3
corrosion,3
acceleration,3
able,3
mid,3
based,3
tape,3
leased,3
years,3
view,3
sabotage,3
undetermined,3
addition,3
adverse,3
parts,3
reporting,3
moments,3
realize,3
deployment,3
propeller,3
miami,3
controllers,3
avoid,3
panel,3
actual,3
guard,3
housing,3
uncontrollable,3
eal,3
jamming,3
francisco,3
inboard,3
thunderstorms,3
limited,2
facilities,2
follow,2
estimated,2
deliberate,2
bangkok,2
brought,2
lavatory,2
total,2
plow,2
assessment,2
phraseology,2
grenade,2
india,2
initiate,2
adjacent,2
las,2
fan,2
vapor,2
interpretation,2
directional,2
persist,2
slats,2
rocky,2
arrested,2
dhabi,2
mayday,2
turning,2
barrier,2
sensory,2
fuse,2
loud,2
miscalculation,2
floors,2
insulation,2
needed,2
john,2
damaging,2
compressor,2
honolulu,2
flame,2
circles,2
exercises,2
maria,2
grove,2
alarm,2
swamp,2
storm,2
northeast,2
rice,2
reversal,2
onboard,2
comply,2
secretary,2
respond,2
erroneous,2
msaw,2
inappropriate,2
automatidirection,2
artificial,2
demanded,2
autobrake,2
lift,2
spin,2
abrupt,2
voice,2
mistake,2
hong,2
logan,2
incorrectly,2
declaring,2
tops,2
epr,2
world,2
departed,2
rotated,2
boston,2
board,2
hunt,2
deal,2
powerlines,2
successfully,2
heathrow,2
shaker,2
bangui,2
permitted,2
months,2
raised,2
presence,2
initial,2
way,2
company,2
battery,2
sustained,2
type,2
frequency,2
evidence,2
radioed,2
setting,2
test,2
felt,2
hijacker,2
combustor,2
finally,2
blast,2
clouds,2
standards,2
lever,2
upper,2
port,2
falling,2
okinawa,2
stormy,2
mauritius,2
positive,2
france,2
statiports,2
entrance,2
overloaded,2
monitoring,2
inputs,2
deviated,2
haneda,2
dove,2
stress,2
johnson,2
nosed,2
jail,2
kong,2
fatalities,2
birds,2
cheyenne,2
markings,2
half,2
maintaining,2
fired,2
inadequacy,2
seriously,2
unwanted,2
couldn,2
tame,2
district,2
reactionary,2
flowers,2
wide,2
cracks,2
require,2
transferred,2
say,2
recover,2
greek,2
especially,2
drive,2
quantity,2
masks,2
ratio,2
overconfidence,2
correctly,2
trade,2
secondary,2
regarding,2
tenerife,2
bombs,2
ignored,2
declared,2
seas,2
israeli,2
detect,2
notice,2
vertical,2
originated,2
reaction,2
cars,2
wheels,2
nearby,2
minima,2
period,2
maintained,2
ordered,2
throttles,2
readings,2
external,2
sound,2
developing,2
mount,2
pushed,2
commander,2
sudden,2
relied,2
preflight,2
read,2
drainage,2
reduced,2
caribbean,2
assembly,2
preoccupied,2
road,2
rising,2
determine,2
performing,2
inadvertent,2
brazilian,2
deteriorating,2
complete,2
dorado,2
grass,2
toilet,2
general,2
personnel,2
spoilers,2
wife,2
executing,2
subjected,2
gimli,2
liter,2
bulkhead,2
large,2
functioning,2
swampy,2
section,2
abu,2
loose,2
ahead,2
transponder,2
experience,2
pick,2
exited,2
struggle,2
hydroplaning,2
trainee,2
twa,2
tunis,2
refueling,2
minor,2
flap,2
town,2
fatal,2
history,2
neglected,2
homicide,2
coming,2
horizontal,2
supervision,2
responsibility,2
mission,2
disabled,2
glide,2
inflated,2
steered,2
robert,2
induced,2
conditioning,2
thrown,2
uncontrolled,2
major,2
mistakenly,2
disregarded,2
blanc,2
recovered,2
attendants,2
calculations,2
trip,2
checklist,2
reach,2
chart,2
plan,2
extremely,2
carthage,2
cover,2
cebu,2
remove,2
snowstorm,2
approaching,2
seventeen,2
outboard,2
defense,2
transportation,2
constellation,2
movie,2
refuel,2
attention,2
mimimum,2
belt,2
territory,2
kilograms,2
representative,2
frozen,2
encountered,2
higher,2
development,2
implement,2
organization,2
workers,2
source,2
finder,2
australia,2
doors,2
evaluate,2
judgement,2
d,2
bounce,2
embraer,2
refused,2
santa,2
range,2
drifted,2
fast,2
succumbed,2
retract,2
problems,2
structure,2
gpws,2
failures,2
intentional,2
existing,2
shiraz,2
experiencing,2
indian,2
bird,2
packing,2
great,2
technical,2
motor,2
cloud,2
taxiing,2
tearing,2
forest,2
buildings,2
farm,2
bluff,2
produced,2
hardover,2
greater,2
pango,2
emb,2
identified,2
situational,2
approached,2
distracted,2
attack,2
paved,2
false,2
need,2
border,2
clearly,2
angle,2
divert,2
misjudgment,2
fact,2
o,2
knowledge,2
planted,2
attained,2
geese,2
local,2
handle,2
lobe,2
vehicles,2
conduct,2
skywest,2
difficulties,2
boundary,2
colombian,2
opening,2
ailerons,2
configuration,2
incident,2
passing,2
wall,2
yaw,2
indicators,2
controlled,2
covered,2
input,2
cvr,2
value,2
serra,2
cross,2
