text,size
crashed,122
plane,79
aircraft,59
engine,51
pilot,40
landing,40
crew,36
approach,35
takeoff,32
runway,31
flight,27
failure,25
taking,22
struck,22
unknown,20
altitude,20
airport,19
error,17
lost,17
route,16
left,16
right,16
conditions,15
shortly,15
failed,14
weather,14
cargo,13
fuel,13
mountain,13
ground,13
rio,13
emergency,13
short,12
rain,12
minutes,12
land,12
stalled,11
en,11
gear,11
control,10
heavy,10
turn,10
poor,10
flames,9
return,9
killed,9
trees,9
sea,9
attempting,9
burned,9
power,9
attempted,9
caused,8
janeiro,8
collided,8
miles,8
flying,8
broke,7
passengers,7
attempt,7
jungle,7
wing,7
hill,7
houses,7
area,7
causing,7
exploded,7
vfr,7
bay,7
river,7
improper,7
loss,7
low,7
collision,6
high,6
ft,6
tried,6
flew,6
ifr,6
did,6
oil,6
cause,6
pilots,6
final,6
engines,6
air,6
descent,6
make,6
fog,6
incorrect,6
midair,6
captain,5
radar,5
dive,5
course,5
aborted,5
went,5
aboard,5
took,5
sao,5
descended,5
hit,5
procedures,5
jet,5
reasons,5
helicopter,5
procedure,5
speed,5
brazilian,5
entered,5
tail,4
led,4
water,4
strong,4
visibility,4
fly,4
making,4
thunderstorm,4
turbine,4
pt,4
striking,4
main,4
house,4
utc,4
cabin,4
distance,4
steep,4
ran,4
overran,4
able,4
km,4
stop,4
amazon,4
burst,4
undetermined,4
paulo,4
adverse,4
used,4
guanabara,4
starboard,4
wreckage,4
decision,4
night,4
disappeared,4
carried,4
navy,4
m,4
lack,3
follow,3
curitiba,3
returned,3
wooded,3
clouds,3
rotor,3
reported,3
leaving,3
resulting,3
named,3
use,3
destination,3
started,3
visual,3
carrying,3
minimum,3
end,3
forest,3
manaus,3
cover,3
hard,3
members,3
manacapuru,3
atc,3
leading,3
caught,3
tree,3
turned,3
warnings,3
bomb,3
controls,3
spoiler,3
dc,3
despite,3
passenger,3
height,3
maintenance,3
feather,3
abandoned,3
descend,3
severe,3
immediately,3
feathered,3
propeller,3
turbulence,3
wings,3
reduced,3
brakes,3
meters,3
prop,3
nose,3
fuselage,3
line,3
warning,3
fell,3
building,3
embraer,2
cessna,2
switched,2
mile,2
winds,2
paris,2
critical,2
trouble,2
continued,2
condition,2
hour,2
experiencing,2
p,2
small,2
force,2
port,2
switch,2
international,2
separation,2
action,2
climb,2
cloud,2
gjz,2
door,2
hold,2
transponder,2
following,2
slid,2
horizonte,2
located,2
beach,2
airline,2
deviated,2
fatigue,2
coming,2
lines,2
unfavorable,2
destroyed,2
degrees,2
mail,2
non,2
good,2
terrain,2
