text,size
aircraft,113
crashed,83
plane,57
pilot,50
flight,48
runway,44
engine,35
crew,28
conditions,24
approach,22
altitude,21
landing,21
cargo,20
land,20
control,19
attempting,19
struck,19
weather,19
left,18
did,17
wing,17
taking,17
loss,17
right,16
failure,16
unknown,15
water,14
airport,14
route,14
terrain,14
lost,14
air,13
en,13
ground,13
miles,13
low,13
accident,12
lake,11
short,11
fuel,11
fog,11
takeoff,10
high,10
flying,10
visual,10
caused,9
captain,9
icing,9
led,9
area,9
feet,9
mountain,9
descended,9
minimum,8
vancouver,8
vfr,8
attitude,8
crash,8
gear,8
took,8
trees,8
entered,8
emergency,8
nose,8
decision,8
power,8
lack,7
ice,7
reported,7
flew,7
killed,7
snow,7
failed,7
instrument,7
error,7
stall,7
shortly,7
contributing,7
time,7
canadian,6
visibility,6
overloaded,6
inverted,6
cause,6
cockpit,6
turn,6
final,6
wreckage,6
likely,6
river,6
result,6
reasons,6
fuselage,6
controlled,6
clearance,5
continued,5
climb,5
landed,5
broke,5
atc,5
island,5
ft,5
maintain,5
stalled,5
heavy,5
leading,5
pilots,5
later,5
touched,5
procedures,5
burned,5
undetermined,5
make,5
speed,5
turbulence,5
night,5
strip,5
mda,5
minutes,5
single,5
having,5
wooded,4
resulting,4
montreal,4
marginal,4
company,4
known,4
mt,4
making,4
end,4
fatigue,4
advised,4
main,4
level,4
went,4
whiteout,4
thrust,4
overshoot,4
overheating,4
caught,4
rain,4
determined,4
steep,4
ran,4
overran,4
causing,4
performance,4
came,4
bomb,4
dorval,4
awareness,4
hit,4
decided,4
probably,4
rolled,4
avoid,4
second,4
west,4
collided,4
near,4
encountered,4
nm,4
severe,4
unable,4
instruments,4
passenger,4
required,4
initiated,4
poor,4
returning,3
trouble,3
occurrence,3
shut,3
surrounding,3
rate,3
section,3
weight,3
ontario,3
situational,3
flames,3
difficulty,3
touchdown,3
cloud,3
destination,3
flap,3
collision,3
information,3
tried,3
attempt,3
st,3
ambulance,3
valley,3
destroyed,3
mail,3
canada,3
debris,3
training,3
south,3
exploded,3
compartment,3
tree,3
apparently,3
accordance,3
factor,3
rest,3
harvard,3
reverse,3
flaps,3
path,3
engines,3
helicopter,3
floats,3
situation,3
obstacle,3
brake,3
return,3
descent,3
center,3
bounced,3
possibly,3
pounds,3
crashing,3
lose,3
disappeared,3
float,3
uncontrollable,3
north,3
attempted,3
gain,3
remote,3
inadequate,3
localizer,2
rcaf,2
mile,2
skin,2
winds,2
tail,2
issued,2
gimli,2
suffered,2
liter,2
condition,2
experiencing,2
standards,2
charter,2
design,2
material,2
piper,2
contributed,2
new,2
degree,2
placing,2
operating,2
sink,2
respect,2
pitre,2
leaving,2
cessna,2
opinion,2
plow,2
dug,2
calgary,2
separated,2
relay,2
occurred,2
hour,2
plunged,2
sudden,2
damage,2
forest,2
aft,2
detonation,2
dive,2
began,2
thunderstorm,2
intercept,2
light,2
subsequently,2
preparing,2
soon,2
pitch,2
rapidly,2
communication,2
lookout,2
non,2
half,2
maintaining,2
rendering,2
lift,2
prevailing,2
insurance,2
navigational,2
hill,2
maneuver,2
turning,2
base,2
york,2
corrosion,2
times,2
flown,2
conducted,2
initial,2
number,2
directly,2
impossible,2
message,2
straight,2
guay,2
convent,2
elevator,2
intense,2
station,2
ceiling,2
resulted,2
pelee,2
retraction,2
lbs,2
recover,2
angle,2
retracted,2
zero,2
divert,2
maneuvering,2
components,2
track,2
viscount,2
gyro,2
voodoo,2
discovered,2
chartered,2
parked,2
rough,2
impact,2
tire,2
aborted,2
controls,2
deteriorating,2
stop,2
dc,2
installed,2
increasing,2
canadair,2
remove,2
twice,2
snowstorm,2
fishing,2
set,2
sea,2
away,2
vertical,2
illusions,2
received,2
c,2
railway,2
airborne,2
halifax,2
cf,2
height,2
addition,2
realize,2
enable,2
kilograms,2
crack,2
frozen,2
adverse,2
forced,2
tops,2
hand,2
running,2
mountainous,2
prescribed,2
lower,2
safely,2
ocean,2
contact,2
just,2
effects,2
occupants,2
requiring,2
rules,2
possible,2
safe,2
manual,2
continue,2
tower,2
brakes,2
proper,2
extended,2
normal,2
airspeed,2
run,2
problems,2
references,2
losing,2
banked,2
factors,2
seaplane,2
quickly,2
cleared,2
ridge,2
spiral,2
sank,2
way,2
cliff,2
complete,2
airstrip,2
properly,2
line,2
trying,2
fort,2
pull,2
maximum,2
dragging,2
trip,2
incorrect,2
ignited,2
field,2
transport,2
cashed,2
requested,2
geographiand,2
