text,size
plane,547
cargo,394
crashed,393
pilot,202
aircraft,167
flight,123
runway,118
engine,116
failure,112
approach,102
altitude,97
struck,86
conditions,82
takeoff,81
weather,80
crew,76
route,73
control,71
en,69
attempting,69
landing,67
mountain,67
trees,65
taking,65
terrain,62
land,62
lost,61
ground,59
airport,59
unknown,59
maintain,58
low,54
failed,53
accident,47
right,44
short,43
mail,43
loss,41
shortly,40
ft,38
improper,38
fog,37
poor,37
wing,35
left,34
airplane,34
emergency,32
flew,32
factors,32
fuel,31
night,30
instrument,30
high,30
resulted,29
contributing,27
clearance,27
collided,26
vfr,25
did,25
miles,25
adverse,25
captain,24
turn,24
air,24
power,24
icing,23
hit,23
descent,23
continued,23
command,23
flying,22
return,22
climb,22
procedures,22
undetermined,22
inadequate,21
descended,20
speed,20
nose,20
took,19
engines,19
impacted,19
caught,19
lack,19
reasons,19
decision,19
stalled,19
rain,18
visual,18
resulting,18
attempt,17
ice,17
attempted,17
area,17
caused,17
stall,17
error,17
making,17
visibility,17
height,16
make,16
flames,16
tried,16
feet,16
sea,16
carrying,16
fatigue,16
began,16
gain,16
snow,15
overloaded,15
burned,15
planning,15
ceiling,14
unable,14
water,14
killed,14
ifr,14
cause,14
final,14
mountainous,14
minutes,14
went,13
second,13
procedure,13
course,13
later,13
burst,13
field,13
company,13
broke,13
collision,13
steep,13
end,12
adequate,12
entered,12
ocean,12
dark,12
inadvertent,12
heavy,12
hill,12
pilots,12
maintenance,12
crash,12
gear,12
aboard,11
destroyed,11
ran,11
causing,11
ils,11
canyon,11
descend,11
contact,11
helicopter,11
follow,11
departure,11
attitude,11
factor,11
river,11
position,11
airspeed,11
mt,10
bank,10
forced,10
result,10
diverted,10
near,10
losing,10
fly,10
meteorological,10
condition,10
prior,10
weight,10
operation,10
missed,10
encountered,10
use,10
lose,10
disorientation,9
reported,9
disappeared,9
mile,9
spatial,9
pass,9
landed,9
minimum,9
mountains,9
winds,9
cruise,9
center,9
avoid,9
loaded,8
ceilings,8
pitch,8
subsequent,8
trying,8
tail,8
radar,8
house,8
probable,8
lower,8
warning,8
cloud,8
rising,8
controller,8
proper,8
safe,7
encountering,7
elevator,7
contamination,7
gravity,7
descending,7
officer,7
holding,7
clouds,7
normal,7
tower,7
time,7
rate,7
soon,7
airborne,7
storm,7
overran,7
ditched,7
approved,7
snowstorm,7
led,7
degree,7
controls,7
misjudged,6
operations,6
mda,6
atc,6
heading,6
bad,6
rolled,6
aviation,6
east,6
meters,6
flaps,6
float,6
initial,6
maximum,6
port,6
passengers,6
following,6
non,6
feathered,6
severe,6
reduced,6
improperly,6
oil,6
cockpit,6
houses,6
km,6
attention,6
turbulence,6
experiencing,6
related,6
controlled,6
sufficient,6
wreckage,6
lake,6
thunderstorms,6
told,5
path,5
separated,5
wind,5
appeared,5
possible,5
check,5
radioed,5
cessna,5
order,5
banked,5
dive,5
vicinity,5
striking,5
equipment,5
impairment,5
maneuvering,5
vertical,5
mount,5
diversion,5
setting,5
rules,5
maintained,5
pitched,5
incorrect,5
experience,5
destination,5
initiated,5
known,5
navigational,5
airframe,5
shifted,5
clear,5
early,5
loading,5
continue,5
inspection,5
thunderstorm,5
rotation,5
inverted,5
management,5
able,5
pattern,5
copilot,5
surface,5
disoriented,5
propeller,5
wooded,4
likely,4
lights,4
indicated,4
executed,4
imc,4
structural,4
standard,4
tree,4
preparation,4
bounced,4
grove,4
chartered,4
twice,4
