text,size
pilot,120
crashed,90
flight,87
aircraft,79
weather,62
conditions,55
vfr,48
adverse,41
continued,39
plane,35
failure,35
mountain,31
engine,30
terrain,29
approach,26
low,26
runway,25
takeoff,23
route,23
altitude,23
en,22
improper,22
trees,21
accident,20
fog,20
collided,19
ft,17
control,16
power,16
maintain,15
feet,15
flying,15
landing,15
airport,14
rain,14
airplane,13
killed,13
ifr,13
unknown,13
snow,13
ground,13
left,13
instrument,13
struck,13
did,12
stall,12
failed,12
night,12
right,12
nose,12
water,11
flew,11
ceiling,11
taking,11
airspeed,11
area,11
visibility,10
turn,10
fuel,10
miles,10
command,10
loss,10
poor,10
level,9
reported,9
operation,9
cause,9
canyon,9
descent,9
emergency,9
turbulence,9
attempted,9
climb,8
decision,8
resulted,8
attempting,8
undetermined,8
air,8
lost,8
maintained,8
factors,8
passengers,7
impacted,7
collision,7
wing,7
attitude,7
imc,7
disorientation,7
visual,7
shortly,7
wreckage,7
spatial,7
clearance,6
icing,6
witnesses,6
descended,6
use,6
destination,6
factor,6
final,6
mountainous,6
planning,6
procedures,6
observed,6
maintenance,6
entered,6
meteorological,6
severe,6
speed,6
rising,6
land,6
cessna,5
suffered,5
wooded,5
clouds,5
approximately,5
misjudged,5
high,5
tried,5
short,5
bank,5
took,5
experienced,5
impact,5
hit,5
subsequent,5
dark,5
proper,5
contributing,5
disappeared,5
inadvertent,5
passenger,5
inadequate,5
caused,4
make,4
whiteout,4
destroyed,4
experience,4
followed,4
fly,4
making,4
stated,4
end,4
stalled,4
covered,4
weight,4
reason,4
rated,4
caught,4
gear,4
attempt,4
tree,4
pass,4
adequate,4
probable,4
minima,4
reasons,4
began,4
disoriented,4
east,4
tower,4
obscured,4
float,4
deteriorating,4
minutes,4
mile,3
follow,3
lake,3
returning,3
encounter,3
experiencing,3
rate,3
contributed,3
chose,3
alaska,3
cloud,3
overloaded,3
minimum,3
following,3
downdrafts,3
located,3
thunderstorm,3
wave,3
departure,3
soon,3
course,3
cruise,3
non,3
effects,3
foot,3
uncontrolled,3
alcohol,3
obstructions,3
airstrip,3
encountering,3
atc,3
aboard,3
pilots,3
initial,3
inflight,3
distance,3
steep,3
able,3
performance,3
maneuvering,3
position,3
threshold,3
local,3
stop,3
activity,3
approaching,3
away,3
unable,3
rolled,3
hours,3
reverse,3
resulting,3
engines,3
west,3
box,3
tank,3
near,3
error,3
procedure,3
encountered,3
vor,3
wires,3
forced,3
lower,3
contact,3
just,3
field,3
rules,3
descending,3
pounds,3
avoid,3
sightseeing,3
ridge,3
complete,3
inverted,3
associated,3
witness,3
turbocharger,2
lack,2
felt,2
localized,2
number,2
diverted,2
tanks,2
advised,2
inspection,2
sank,2
occurrence,2
prevailed,2
improperly,2
degree,2
extreme,2
canadian,2
anchor,2
prior,2
base,2
narrow,2
windshear,2
crashing,2
apply,2
total,2
indicated,2
type,2
door,2
initiated,2
landed,2
broke,2
known,2
presumed,2
heard,2
island,2
abort,2
imminent,2
instead,2
dive,2
insufficient,2
parallel,2
realized,2
lines,2
baggage,2
subsequently,2
wind,2
inlet,2
degrees,2
main,2
return,2
aborted,2
instructions,2
execute,2
l,2
went,2
el,2
house,2
told,2
related,2
aide,2
looking,2
waters,2
highway,2
maneuver,2
airframe,2
turning,2
early,2
days,2
heading,2
south,2
blind,2
elevator,2
open,2
airborne,2
stopped,2
checklist,2
immediate,2
double,2
tourists,2
injured,2
turned,2
saw,2
ditched,2
acceleration,2
zero,2
enter,2
exercised,2
plan,2
kt,2
gain,2
slope,2
determine,2
marciano,2
inoperative,2
throttle,2
areas,2
radar,2
gust,2
river,2
kts,2
initially,2
available,2
shoreline,2
ability,2
attention,2
ils,2
nearby,2
point,2
height,2
ocean,2
direction,2
downwind,2
controller,2
consecutive,2
spin,2
applied,2
premature,2
ceilings,2
order,2
engaged,2
surface,2
alititude,2
rotors,2
trip,2
parts,2
potentially,2
descend,2
exhaust,2
suitable,2
taxi,2
excessive,2
departed,2
actress,2
causing,2
climbout,2
remaining,2
possible,2
judgement,2
conditons,2
t,2
hail,2
drop,2
gross,2
deteriorated,2
moderate,2
lose,2
losing,2
congressman,2
road,2
mountains,2
metres,2
pitched,2
maximum,2
problem,2
trailing,2
radioed,2
personnel,2
roll,2
midair,2
rolling,2
rescued,2
time,2
intentional,2
limited,1
partial,1
sharply,1
mores,1
localizer,1
issued,1
condusive,1
sleet,1
executing,1
ciudad,1
winds,1
decisions,1
children,1
increase,1
father,1
tail,1
exit,1
indicating,1
mayday,1
cruising,1
advantage,1
far,1
scattered,1
midjudge,1
turbulent,1
cook,1
affect,1
trouble,1
faa,1
disconnected,1
hillside,1
moines,1
reappearing,1
small,1
guy,1
prevent,1
force,1
zk,1
consistent,1
za,1
past,1
surrounding,1
second,1
traffipattern,1
governor,1
initiate,1
fluxgate,1
darkness,1
southwest,1
piper,1
turnaround,1
unforecasted,1
falling,1
officially,1
airfame,1
movement,1
transportation,1
leg,1
placing,1
french,1
dubroff,1
intercept,1
sink,1
separation,1
gorge,1
roof,1
strong,1
obtained,1
ahead,1
climbed,1
piloting,1
smoke,1
navigation,1
urracal,1
invfr,1
campaign,1
marginal,1
manage,1
seven,1
county,1
till,1
navaids,1
trainee,1
establish,1
certificate,1
positive,1
hospital,1
negative,1
picniarea,1
live,1
taken,1
survive,1
son,1
kentucky,1
flap,1
company,1
occurred,1
aguacate,1
tested,1
chugach,1
prescription,1
ware,1
cay,1
car,1
des,1
tougas,1
worn,1
mt,1
talkeetna,1
trans,1
performed,1
slid,1
lock,1
magnetiheading,1
taxiway,1
dropped,1
occur,1
rescue,1
drugs,1
monoxide,1
defective,1
eng,1
fpm,1
secured,1
sudden,1
damage,1
stayed,1
begich,1
beach,1
detonation,1
plant,1
attend,1
minimums,1
freezing,1
wrong,1
birthday,1
fatigue,1
fl,1
recovery,1
natural,1
soleil,1
selectors,1
shore,1
jungle,1
ambulance,1
lined,1
roger,1
flaps,1
burn,1
compass,1
fatalities,1
turbine,1
puddingstone,1
contaminated,1
rapidly,1
glide,1
directional,1
blown,1
vicinity,1
crew,1
late,1
insturment,1
condition,1
happened,1
greater,1
primary,1
break,1
qualified,1
hale,1
half,1
rotation,1
knts,1
rocky,1
didn,1
lighting,1
transmitted,1
leaned,1
rock,1
disregard,1
accompanied,1
traces,1
minute,1
heavy,1
r,1
attachments,1
conflicting,1
mackenzie,1
used,1
entering,1
exceeded,1
shearing,1
special,1
intended,1
restricted,1
investigation,1
hill,1
got,1
jessica,1
overweight,1
cowling,1
possibility,1
bonelli,1
houses,1
gulfport,1
shreveport,1
wall,1
fueled,1
pitot,1
british,1
length,1
circuit,1
unformatted,1
turf,1
merrill,1
striking,1
imconditions,1
coming,1
mountainside,1
scene,1
hearing,1
st,1
suspended,1
ditch,1
bounced,1
unexplained,1
jet,1
indicate,1
listed,1
storm,1
northbound,1
white,1
compartment,1
misunderstood,1
completed,1
park,1
selector,1
optical,1
deceleration,1
july,1
holder,1
retraction,1
b,1
rugged,1
target,1
slowed,1
preparation,1
briefing,1
poisoning,1
larkin,1
steer,1
traveling,1
pre,1
bridge,1
upslope,1
ran,1
tide,1
overran,1
juneau,1
seen,1
recover,1
retracted,1
parks,1
pulaski,1
majority,1
edge,1
impairment,1
airlpane,1
begin,1
warnings,1
tornado,1
distraction,1
chart,1
involving,1
cleared,1
autopsy,1
singer,1
aileron,1
considered,1
gyro,1
medical,1
km,1
properly,1
undulations,1
haughton,1
ensued,1
came,1
saying,1
shot,1
structural,1
departing,1
airlift,1
watch,1
radio,1
manifold,1
williston,1
slow,1
claude,1
distributed,1
controls,1
touched,1
easterly,1
mayors,1
hall,1
alitiude,1
flames,1
quartering,1
wide,1
dc,1
coast,1
preparing,1
despite,1
conjunction,1
restart,1
morning,1
twice,1
briefed,1
calls,1
reference,1
throwing,1
twin,1
saddle,1
shrouded,1
seat,1
decided,1
sea,1
operated,1
led,1
arm,1
hattiesburg,1
project,1
lifejackets,1
nature,1
artificial,1
mel,1
piston,1
burned,1
ruptured,1
vertical,1
missing,1
guayana,1
aaliyah,1
densely,1
carbon,1
spark,1
cities,1
linkage,1
pacifiocean,1
installation,1
serviced,1
barely,1
according,1
patruca,1
assure,1
receiver,1
wheels,1
foveaux,1
safely,1
painkilling,1
destabilized,1
distress,1
harbour,1
survivors,1
unusual,1
source,1
remained,1
lauzon,1
advisories,1
marsh,1
louisiana,1
wetness,1
exhaustion,1
location,1
ferguson,1
commuter,1
forcast,1
inbound,1
influence,1
sufficient,1
sunshine,1
gas,1
precision,1
observers,1
representative,1
shaft,1
limits,1
tip,1
ignition,1
cancelled,1
balance,1
region,1
cylinder,1
strait,1
forcasted,1
middle,1
