text,size
crashed,81
plane,56
aircraft,50
runway,29
mountain,27
engine,23
pilot,22
control,18
takeoff,18
approach,16
cargo,14
sea,14
failure,14
flight,13
taking,13
shortly,13
landing,13
land,13
airport,12
en,12
route,12
unknown,12
attempting,12
weather,12
struck,11
minutes,10
poor,10
crew,9
ground,9
miles,9
rain,9
right,9
fog,9
loss,8
altitude,8
caused,7
led,7
broke,7
aboard,7
ft,7
heavy,7
wing,7
lost,7
attempted,7
cockpit,6
feet,6
shot,6
failed,6
hit,6
losing,6
captain,5
flames,5
military,5
did,5
cabin,5
accident,5
river,5
air,5
reaching,5
disappeared,5
mountains,5
planes,5
field,5
chinese,4
hijacker,4
japanese,4
lights,4
taipei,4
visibility,4
dive,4
short,4
attempt,4
kong,4
course,4
killed,4
bank,4
used,4
autopilot,4
turn,4
gear,4
b,4
ran,4
ditched,4
closed,4
conditions,4
error,4
crash,4
hong,4
left,4
fighters,4
nose,4
icing,3
experiencing,3
china,3
separation,3
named,3
followed,3
visual,3
taxiway,3
thunderstorm,3
stalled,3
flew,3
went,3
kweilin,3
caught,3
typhoon,3
causing,3
km,3
gain,3
fuel,3
rice,3
nut,3
pitch,3
unable,3
engines,3
collided,3
near,3
began,3
resulting,3
forced,3
flown,3
severe,3
possible,3
turbulence,3
dense,3
r,3
range,3
flying,3
properly,3
paddy,3
time,3
hijacked,2
shanghai,2
tail,2
clouds,2
large,2
small,2
approximately,2
force,2
radar,2
section,2
witnesses,2
destroyed,2
international,2
prior,2
struggle,2
armed,2
overhead,2
entrance,2
fly,2
roosevelt,2
v,2
high,2
collision,2
end,2
breaking,2
machine,2
instead,2
chunking,2
directional,2
late,2
main,2
belly,2
eventually,2
return,2
qualified,2
half,2
structural,2
ifr,2
explode,2
hard,2
missed,2
correct,2
south,2
striking,2
blew,2
directly,2
thick,2
airborne,2
outboard,2
took,2
showed,2
stall,2
steep,2
dalian,2
turned,2
overran,2
mountainous,2
mid,2
exploded,2
channel,2
kai,2
involving,2
circled,2
construction,2
normally,2
discovered,2
radio,2
impact,2
tire,2
touched,2
procedures,2
following,2
bay,2
bad,2
snowstorm,2
burst,2
terrain,2
burned,2
killing,2
passenger,2
himalayas,2
demanded,2
village,2
boat,2
yaw,2
hitting,2
gas,2
overloading,2
tank,2
disconnected,2
procedure,2
strait,2
descend,2
oil,2
climbing,2
ocean,2
contact,2
speed,2
hills,2
lake,2
emergency,2
performance,2
night,2
meters,2
escape,2
prop,2
power,2
seconds,2
pressure,2
bolt,2
quemoy,2
getting,2
island,2
chingshan,2
bursting,2
low,2
entered,2
pull,2
wenzhou,2
hsinchu,2
holding,2
midair,2
lanzhou,2
rescued,2
holes,2
landed,2
sabotage,2
decision,2
managed,1
rod,1
executing,1
mile,1
winds,1
follow,1
disintegration,1
causes,1
aug,1
lower,1
include,1
passed,1
issued,1
southwest,1
far,1
heard,1
jack,1
tanks,1
bleach,1
continued,1
timely,1
believed,1
wooded,1
transmission,1
gun,1
bamboo,1
sane,1
lever,1
farmhouse,1
digboi,1
past,1
likely,1
pass,1
functioning,1
domestiflight,1
taxing,1
contributed,1
overshot,1
penghu,1
pin,1
falling,1
crashing,1
body,1
chose,1
degree,1
tibet,1
guangzhou,1
component,1
hours,1
met,1
undershot,1
skidded,1
extreme,1
passengers,1
luggage,1
impacted,1
changed,1
leaving,1
descended,1
smoke,1
seven,1
brought,1
total,1
use,1
taxiing,1
proceed,1
working,1
strike,1
door,1
flap,1
occurred,1
resevoir,1
hole,1
encountered,1
md,1
pushed,1
overloaded,1
sounded,1
antonov,1
mt,1
locker,1
