text,size
crashed,97
plane,53
aircraft,39
mountain,36
cargo,26
taking,24
engine,24
flight,23
ft,20
route,20
pilot,19
crew,18
conditions,18
struck,18
weather,18
landing,18
airport,17
approach,17
runway,17
shortly,16
en,15
vfr,15
fog,14
failure,14
poor,14
land,14
attempting,13
short,11
el,11
ground,11
ifr,10
unknown,10
control,9
bogota,8
hill,8
later,8
emergency,8
minutes,8
lack,7
aboard,7
wreckage,7
error,7
lost,7
altitude,7
flying,7
visibility,6
mt,6
days,6
took,6
miles,6
return,6
low,6
collision,5
jungle,5
wing,5
course,5
flew,5
cockpit,5
final,5
gear,5
takeoff,5
failed,5
hit,5
accident,5
rain,5
left,5
n,5
mountains,5
cali,4
high,4
crash,4
heavy,4
turn,4
feet,4
starboard,4
river,4
burned,4
colombian,4
destroyed,4
air,4
make,4
adverse,4
disappeared,4
peak,4
continued,3
prisoners,3
diverting,3
maneuver,3
domestiflight,3
explosion,3
tailplane,3
beacon,3
operating,3
landed,3
broke,3
overloaded,3
following,3
faulty,3
non,3
killed,3
cause,3
villavicencio,3
caught,3
turned,3
popay,3
mountainous,3
touched,3
dc,3
terrain,3
decided,3
airliner,3
flames,3
near,3
vor,3
possible,3
descending,3
propeller,3
loss,3
tower,3
reduced,3
people,3
trying,3
placed,3
field,3
visual,3
caused,2
month,2
follow,2
trouble,2
cable,2
did,2
second,2
piper,2
prevailed,2
water,2
reported,2
climb,2
destination,2
dorado,2
tried,2
farm,2
fl,2
attempt,2
wind,2
la,2
stalled,2
main,2
apron,2
volcano,2
girl,2
steered,2
shut,2
exploded,2
deteriorating,2
cabin,2
san,2
causing,2
plan,2
hk,2
bomb,2
gold,2
attempts,2
nevado,2
fuel,2
adequate,2
leased,2
trees,2
radar,2
twice,2
burst,2
outside,2
unable,2
closed,2
barely,2
attributed,2
height,2
rpm,2
platinum,2
feather,2
direction,2
climbed,2
drug,2
descent,2
overspeed,2
border,2
incorrectly,2
pan,2
meteorological,2
judgment,2
prescribed,2
severe,2
contact,2
bounced,2
distracting,2
speed,2
discipline,2
lake,2
elevation,2
overspeeding,2
right,2
old,2
proper,2
avoid,2
power,2
reaching,2
island,2
andes,2
presence,2
tame,2
slopes,2
attempted,2
maximum,2
passenger,2
felix,2
warning,2
midair,2
began,2
r,1
manager,1
mile,1
winds,1
rainand,1
helicopter,1
improperly,1
producing,1
technique,1
talkativeness,1
deluvio,1
tail,1
screen,1
cruising,1
returned,1
gardel,1
attemping,1
minute,1
tri,1
clouds,1
announcing,1
positions,1
having,1
small,1
rack,1
bahia,1
magdalena,1
direct,1
pass,1
cartel,1
errors,1
section,1
cordillera,1
witnesses,1
haze,1
falling,1
cordova,1
officially,1
consisting,1
told,1
hydrauliproblems,1
degree,1
resulted,1
declaired,1
path,1
trafficontrol,1
obtained,1
boy,1
great,1
survivor,1
institute,1
impacted,1
goigira,1
jungles,1
experience,1
leaving,1
descended,1
patascoy,1
huila,1
published,1
action,1
military,1
settled,1
vapors,1
shifting,1
unit,1
florencia,1
pera,1
illegal,1
france,1
taken,1
authorization,1
separated,1
company,1
corrected,1
occurred,1
aware,1
carrying,1
veered,1
hold,1
rivalry,1
atc,1
fly,1
keeping,1
hour,1
excessively,1
crossed,1
dazed,1
making,1
pick,1
crazy,1
ndb,1
neglected,1
confused,1
pieces,1
heard,1
minimum,1
rainstorm,1
dropped,1
frontino,1
clothing,1
end,1
range,1
attachment,1
moron,1
tulua,1
inappropriate,1
buildings,1
southern,1
fatigue,1
monitoring,1
man,1
penitentiary,1
counter,1
lines,1
supervision,1
nosed,1
green,1
descend,1
buga,1
executed,1
developed,1
soon,1
inaugural,1
attitude,1
pitch,1
hell,1
helicopters,1
tulc,1
le,1
terrorists,1
survivors,1
degrees,1
instruments,1
covered,1
image,1
belly,1
safe,1
medellin,1
yopal,1
half,1
disorientation,1
detach,1
bank,1
execute,1
montezuma,1
detonation,1
embankment,1
experiencing,1
carlos,1
stalling,1
house,1
positioned,1
used,1
oil,1
entering,1
changed,1
cumbal,1
adequately,1
alcohol,1
factors,1
navigational,1
manually,1
douglas,1
situational,1
shipment,1
lubricating,1
turning,1
bolts,1
state,1
cart,1
houses,1
members,1
romeo,1
shot,1
training,1
farmland,1
takoff,1
heading,1
american,1
place,1
leading,1
pilots,1
south,1
farllones,1
bogata,1
blown,1
ecuador,1
number,1
airborne,1
pablo,1
uribe,1
ring,1
mist,1
meadow,1
city,1
sheer,1
management,1
service,1
saluda,1
bonito,1
fms,1
elevator,1
storm,1
convention,1
recovered,1
trapped,1
shallow,1
flowers,1
unfortunately,1
double,1
tree,1
sabotaged,1
idle,1
stall,1
steep,1
deciding,1
acknowledged,1
fonseca,1
rucio,1
ecuadorian,1
guape,1
saw,1
ditched,1
inspections,1
scadta,1
mid,1
recommended,1
atop,1
experienced,1
opposite,1
intentions,1
device,1
maria,1
singer,1
medell,1
clear,1
km,1
ignited,1
fact,1
gain,1
rebels,1
departing,1
escobar,1
planning,1
radio,1
olaya,1
threshold,1
impact,1
indicator,1
northeast,1
cartagena,1
sparks,1
caqueta,1
awareness,1
cecilia,1
mission,1
vehicles,1
amazon,1
words,1
report,1
procedures,1
areas,1
unauthorized,1
guatiquia,1
silencio,1
approaching,1
seventeen,1
set,1
aguadita,1
seat,1
buzzed,1
parking,1
led,1
directional,1
huirotico,1
available,1
caida,1
explosive,1
missing,1
herrera,1
dome,1
killing,1
undetermined,1
c,1
improved,1
veer,1
carelessness,1
load,1
minima,1
prepared,1
headed,1
appeared,1
lyricist,1
improper,1
canyon,1
jammed,1
loaded,1
actually,1
speak,1
consuming,1
charts,1
collided,1
pa,1
maintenance,1
cesare,1
territory,1
threw,1
f,1
passengers,1
inbound,1
finished,1
wheeled,1
diverted,1
applied,1
tank,1
governor,1
fogbound,1
aid,1
reconnaissance,1
procedure,1
seven,1
