text,size
crashed,82
aircraft,55
plane,37
flight,28
mountain,27
approach,25
pilot,24
runway,20
weather,18
ft,17
fog,15
struck,14
poor,14
conditions,13
taking,13
rain,13
land,13
ground,12
attempting,12
altitude,12
failure,12
airport,11
route,11
high,10
vfr,10
heavy,10
hill,10
minutes,10
cargo,9
visual,9
control,9
flew,9
en,9
turbulence,9
landing,9
lack,8
takeoff,8
trees,8
island,8
short,7
crew,7
sea,7
lost,7
water,6
miles,6
accident,6
improper,6
engine,6
descent,6
descended,6
wreckage,6
right,6
decision,6
area,6
attempted,6
winds,5
continued,5
veered,5
visibility,5
mt,5
feet,5
unknown,5
wing,5
terrain,5
collided,5
error,5
shortly,5
severe,5
left,5
power,5
captain,4
crashing,4
resulting,4
navigation,4
broke,4
st,4
jungle,4
ifr,4
elevator,4
final,4
took,4
fuel,4
hit,4
procedures,4
emergency,4
flying,4
mda,4
icing,3
did,3
misjudged,3
strong,3
climb,3
windshear,3
overloaded,3
making,3
airplane,3
maintain,3
stalled,3
navigational,3
training,3
corrosion,3
turn,3
pilots,3
bounced,3
came,3
controls,3
failed,3
decided,3
air,3
make,3
contact,3
continue,3
nose,3
disappeared,3
trying,3
time,3
wave,2
minute,2
clouds,2
cable,2
level,2
experiencing,2
force,2
destroyed,2
resulted,2
reported,2
flames,2
impacted,2
suddenly,2
use,2
destination,2
initiated,2
fly,2
descending,2
following,2
minimum,2
thunderstorm,2
wind,2
course,2
attitude,2
including,2
imc,2
main,2
clearance,2
l,2
factors,2
base,2
positioning,2
aboard,2
overshoot,2
carry,2
jet,2
caught,2
station,2
forward,2
preparation,2
stall,2
steep,2
ruteng,2
mountainous,2
gravity,2
clear,2
chartered,2
factor,2
adequate,2
twice,2
recently,2
rolled,2
minima,2
reasons,2
height,2
pole,2
instrument,2
inadequate,2
eastern,2
wake,2
applied,2
near,2
forced,2
flown,2
center,2
ocean,2
bodies,2
just,2
coordination,2
possible,2
loss,2
tower,2
reduced,2
proper,2
gross,2
dense,2
contributing,2
nosegear,2
insufficient,2
el,2
references,2
deteriorating,2
north,2
remote,2
passenger,2
associated,2
recognize,2
tip,2
barth,2
thunderstorms,2
sharply,1
localizer,1
caused,1
rod,1
facilities,1
woods,1
follow,1
rainand,1
decisions,1
improperly,1
gold,1
mistook,1
environment,1
tail,1
diverted,1
sound,1
servicing,1
tanks,1
timely,1
believed,1
wooded,1
leveled,1
correct,1
yasirua,1
planning,1
small,1
harrier,1
sank,1
possiblity,1
parked,1
mile,1
pokhara,1
hillside,1
paso,1
past,1
surrounding,1
rate,1
skagon,1
port,1
reaching,1
overload,1
new,1
bird,1
multinational,1
degree,1
leg,1
french,1
flores,1
path,1
strewn,1
canadian,1
jungles,1
bolson,1
franklin,1
published,1
action,1
military,1
narrow,1
marginal,1
brought,1
lagos,1
touchdown,1
total,1
iliamna,1
rudder,1
vehicle,1
type,1
flap,1
started,1
company,1
occurred,1
carrying,1
controlling,1
prinses,1
preoccupied,1
hold,1
mountains,1
hour,1
maarten,1
plunged,1
colcanin,1
spontaneous,1
airstrip,1
pieces,1
mountin,1
requirements,1
recovery,1
provide,1
verify,1
damage,1
low,1
adjacent,1
beach,1
intended,1
began,1
wrong,1
fatigue,1
end,1
attempt,1
liquid,1
light,1
correspond,1
supervision,1
nosed,1
truck,1
allow,1
ambulance,1
subsequently,1
operations,1
rusted,1
soon,1
pitch,1
group,1
monitor,1
la,1
parachutists,1
fin,1
descend,1
non,1
good,1
affected,1
combination,1
mehamn,1
touching,1
yopal,1
flammable,1
lozan,1
bank,1
warned,1
capability,1
embankment,1
went,1
prevailing,1
hinno,1
weight,1
house,1
nashua,1
hard,1
exceeded,1
operation,1
adequately,1
mist,1
alcohol,1
induced,1
cause,1
sumbawa,1
hermosa,1
turning,1
dirt,1
difficulty,1
york,1
beginning,1
certified,1
additional,1
g,1
flightcrew,1
days,1
british,1
american,1
leading,1
south,1
copper,1
striking,1
groton,1
mountainside,1
primary,1
airborne,1
directly,1
reached,1
bima,1
ditch,1
quality,1
straight,1
little,1
fence,1
tom,1
legs,1
ecuador,1
gps,1
shifted,1
enforcement,1
gear,1
shallow,1
berau,1
western,1
macunaa,1
distance,1
throttle,1
cartwheeled,1
split,1
churia,1
zero,1
banana,1
pre,1
lbs,1
failing,1
remained,1
turned,1
return,1
manner,1
showers,1
seen,1
traffilanes,1
apparently,1
acceleration,1
angle,1
unsuitable,1
steamboat,1
peacekeeping,1
oriented,1
emphasis,1
directives,1
impairment,1
amountain,1
province,1
experienced,1
spewing,1
react,1
impacting,1
ravine,1
herman,1
deviations,1
especially,1
kinestheticues,1
later,1
km,1
freeway,1
swamp,1
mechanical,1
usual,1
salt,1
gain,1
slope,1
shot,1
contacted,1
departing,1
juliana,1
scattered,1
bursting,1
discovered,1
radio,1
overshot,1
threshold,1
soldiers,1
degraded,1
impact,1
northeast,1
parameters,1
terminal,1
touched,1
means,1
stop,1
likely,1
preparing,1
rugged,1
pampa,1
gusty,1
radar,1
patch,1
gears,1
snowstorm,1
himalayas,1
declared,1
erroneous,1
tree,1
observed,1
result,1
techniques,1
probable,1
away,1
originated,1
kilometer,1
progress,1
burned,1
wide,1
available,1
caida,1
southeast,1
ailerons,1
rapidly,1
relying,1
undetermined,1
acquiring,1
limits,1
feathering,1
tour,1
ils,1
grounds,1
continuation,1
contamination,1
spotting,1
loaded,1
appeared,1
second,1
plantation,1
engines,1
uvira,1
downdraughts,1
combined,1
maintenance,1
helicopter,1
exhaustion,1
contributory,1
precision,1
observers,1
overrunning,1
potokari,1
cartwheeling,1
handling,1
survivor,1
luggage,1
happened,1
region,1
procedure,1
pylon,1
seven,1
changed,1
strait,1
encountered,1
loosing,1
crash,1
controversy,1
municipal,1
damaged,1
assure,1
lukla,1
executed,1
elevated,1
northwest,1
used,1
meteorological,1
prescribed,1
settled,1
indonesia,1
shore,1
command,1
position,1
jean,1
flaming,1
aborted,1
heavily,1
storage,1
actions,1
snow,1
rest,1
speed,1
loading,1
dhangadhi,1
lake,1
panamanian,1
nato,1
maintaining,1
clipped,1
east,1
scheduled,1
indonesian,1
elevation,1
increased,1
laphroaig,1
dark,1
jomson,1
jomsom,1
propeller,1
using,1
intersection,1
rear,1
barnstable,1
oxygen,1
berlev,1
manual,1
canyon,1
glideslope,1
communications,1
conditons,1
veering,1
contadora,1
periodiinspection,1
exceed,1
maintained,1
bounce,1
daylight,1
meters,1
springs,1
exceeding,1
ice,1
moderate,1
flaps,1
schedule,1
night,1
undergone,1
losing,1
obscured,1
security,1
micoburst,1
stong,1
o,1
papua,1
range,1
observation,1
backup,1
road,1
burma,1
homogeneous,1
instruments,1
float,1
fuselage,1
strip,1
operator,1
utility,1
ridge,1
inadvertent,1
long,1
fight,1
authorized,1
valley,1
sinai,1
samarinda,1
collapsed,1
flightpath,1
pitched,1
fort,1
pull,1
rejection,1
inside,1
screens,1
grove,1
simara,1
prematurely,1
surkhet,1
influence,1
carved,1
molo,1
controlled,1
adversely,1
physical,1
nm,1
glacier,1
forcast,1
ellen,1
acceptable,1
deviation,1
provided,1
problems,1
proceeding,1
finals,1
cliff,1
building,1
fighter,1
snagged,1
normally,1
required,1
ingestion,1
push,1
sensed,1
