text,size
crashed,605
aircraft,407
plane,297
pilot,208
engine,184
flight,168
mountain,152
approach,140
route,139
failure,135
cargo,132
altitude,125
crew,122
en,119
landing,114
struck,108
weather,100
runway,100
conditions,98
takeoff,94
miles,94
taking,93
land,90
ground,83
airport,83
ft,80
attempting,78
error,76
unknown,75
control,73
poor,70
lost,69
shortly,66
fuel,64
left,62
trees,60
loss,59
failed,58
wing,57
low,54
flying,51
feet,51
cause,49
turn,47
fog,47
captain,46
mt,46
killed,46
flew,46
right,45
emergency,45
caused,44
high,44
air,43
hit,42
dc,40
course,40
accident,37
attempted,37
engines,35
terrain,35
power,35
area,35
short,34
visibility,33
turbulence,32
attempt,30
severe,30
burned,30
improper,30
stalled,30
vfr,29
near,29
resulted,29
did,29
wreckage,29
minutes,29
descent,28
time,28
flames,28
minimum,28
return,28
prescribed,27
following,27
instrument,27
hill,27
crash,27
maintain,26
speed,26
tried,26
sea,26
mountains,26
radio,25
height,25
climb,25
thunderstorm,25
aboard,24
ifr,24
forced,23
make,23
night,23
contributing,23
resulting,23
shot,22
collision,22
procedures,22
propeller,22
procedure,21
disappeared,21
heavy,21
cabin,21
result,20
rain,20
possible,20
follow,20
action,20
position,20
descended,19
navigational,19
cockpit,19
exploded,19
mountainous,19
bomb,18
clouds,18
visual,18
later,18
peak,18
reasons,18
gear,18
steep,18
safe,17
went,17
took,17
unable,17
entered,17
east,17
descending,17
passenger,17
fly,17
caught,17
field,17
midair,17
lack,17
range,17
undetermined,17
avoid,17
making,16
broke,16
airplane,16
pilots,16
factor,16
fatigue,16
north,16
military,15
end,15
wrong,15
ran,15
ocean,15
ice,15
icing,15
navigation,15
san,15
burst,15
company,15
clear,15
alternate,15
final,15
force,14
level,14
explosion,14
landed,14
storm,14
ditched,14
maintenance,14
line,14
named,14
south,14
contact,14
command,14
new,13
reported,13
clearance,13
nose,13
instruments,13
determined,13
encountered,13
continued,13
ridge,13
separated,12
snow,12
causing,12
port,12
maneuver,12
island,12
tail,12
returning,12
river,12
winds,12
adverse,12
lake,12
proper,12
inadequate,12
just,11
losing,11
mile,11
water,11
city,11
collided,11
followed,11
base,11
plan,11
decision,11
degree,11
cloud,11
insufficient,11
recovery,10
encountering,10
second,10
northeast,10
ils,10
descend,10
fuselage,10
allowed,10
mountainside,10
condition,10
destination,10
attitude,10
missed,10
point,10
planes,10
required,10
experiencing,10
sufficient,10
effect,10
overcast,10
airspeed,10
approximately,9
adequate,9
diverted,9
tank,9
starvation,9
evidence,9
holding,9
dive,9
striking,9
slope,9
airliner,9
climbing,9
heater,9
valley,9
trying,9
summit,9
elevator,9
rate,9
oil,9
operation,9
approaching,9
close,9
stall,9
prop,9
led,9
occurred,9
inverted,9
andes,9
lights,8
atc,8
days,8
tree,8
bay,8
reference,8
possibly,8
nm,8
tanks,8
half,8
factors,8
disintegrated,8
training,8
turned,8
normal,8
crashing,8
soon,8
reduced,8
pull,8
known,8
hour,8
