text,size
aircraft,55
crashed,54
plane,40
engine,25
unknown,21
pilot,18
failure,18
approach,17
crew,16
ground,16
flight,16
struck,16
runway,15
land,15
fuel,13
conditions,13
flying,13
poor,13
captain,12
attempting,12
killed,11
cargo,10
control,10
ft,10
lost,10
fog,10
takeoff,9
airport,9
taking,9
low,9
wing,9
visibility,8
failed,8
height,8
air,8
mountain,8
shortly,8
weather,8
altitude,8
landing,8
descended,7
fatigue,7
short,7
hill,7
trees,7
engines,7
error,7
right,7
flames,6
maintain,6
loss,6
resulted,6
caused,5
force,5
making,5
high,5
stalled,5
safe,5
cause,5
turn,5
channel,5
dc,5
sea,5
burned,5
english,5
emergency,5
possible,5
port,4
icing,4
attempt,4
attitude,4
heavy,4
route,4
leading,4
able,4
starboard,4
came,4
shot,4
killing,4
left,4
airfield,4
power,4
instruments,4
field,4
fell,4
winds,3
tail,3
tank,3
condition,3
clouds,3
passengers,3
suddenly,3
cloud,3
occurred,3
landed,3
broke,3
collision,3
dive,3
horizontal,3
vfr,3
structural,3
en,3
operation,3
cockpit,3
houses,3
base,3
british,3
caught,3
exploded,3
tree,3
ditched,3
performance,3
miles,3
water,3
accident,3
reasons,3
entered,3
sufficient,3
near,3
avro,3
crash,3
rain,3
severe,3
edge,3
position,3
speed,3
vibration,3
instrument,3
wings,3
kennedy,3
night,3
starvation,3
heathrow,3
banked,3
minutes,3
limited,2
lack,2
hold,2
suffered,2
continued,2
did,2
experiencing,2
heading,2
design,2
section,2
airways,2
overshot,2
lights,2
crashing,2
beacon,2
derry,2
leaving,2
smoke,2
named,2
diversion,2
flap,2
engaged,2
propellers,2
hour,2
blade,2
roosevelt,2
stabilizer,2
detached,2
earlier,2
thunderstorm,2
wrong,2
president,2
effective,2
pulled,2
windshield,2
chosen,2
non,2
return,2
flew,2
anson,2
half,2
disorientation,2
feathered,2
gust,2
went,2
england,2
house,2
rotor,2
shut,2
bolts,2
york,2
steward,2
striking,2
overshoot,2
feet,2
river,2
elevator,2
reference,2
jet,2
airborne,2
john,2
legs,2
horizons,2
steep,2
gale,2
overran,2
snow,2
fracture,2
slope,2
planning,2
radio,2
hit,2
procedures,2
approaching,2
burst,2
result,2
led,2
away,2
artificial,2
stall,2
available,2
flaps,2
improper,2
anti,2
pb,2
submarine,2
covered,2
fl,2
procedure,2
seven,2
resulting,2
used,2
running,2
climbing,2
y,2
spencer,2
just,2
heavily,2
using,2
unable,2
royal,2
descending,2
nose,2
tower,2
reduced,2
incapacitation,2
broken,2
operator,2
soon,2
inadvertent,2
transfer,2
north,2
helicopter,2
ceskoslovenske,2
planes,2
prematurely,2
check,2
incorrect,2
nm,2
test,2
combustor,2
midair,2
partial,1
levers,1
rod,1
results,1
felt,1
switches,1
farms,1
mile,1
tours,1
frostbite,1
referring,1
paris,1
rudder,1
chances,1
critical,1
th,1
stable,1
fatal,1
applied,1
risk,1
turbulent,1
retract,1
fan,1
malfunctioned,1
school,1
steeply,1
brother,1
large,1
p,1
woods,1
small,1
manchester,1
atlantiwhile,1
unaware,1
limitations,1
approximately,1
diverting,1
fence,1
second,1
bomber,1
toxismoke,1
assured,1
witnesses,1
new,1
misjudged,1
explosion,1
men,1
french,1
seatbelt,1
drug,1
northeast,1
operating,1
ploughed,1
aid,1
path,1
extreme,1
buckled,1
experience,1
prior,1
franklin,1
difficulty,1
climb,1
navigation,1
encountering,1
followed,1
mcguire,1
prejudiced,1
marginal,1
chessel,1
strap,1
drowned,1
actions,1
armed,1
abatement,1
use,1
working,1
iced,1
oldham,1
destination,1
strike,1
restraints,1
stage,1
type,1
separated,1
sharing,1
door,1
started,1
easterly,1
carrying,1
controlling,1
known,1
hurry,1
women,1
involve,1
locked,1
f,1
car,1
mw,1
determining,1
completing,1
becaon,1
lodged,1
windshear,1
fracturing,1
lock,1
days,1
minimum,1
dropped,1
allowed,1
handle,1
airplane,1
occur,1
simple,1
successful,1
monitoring,1
winter,1
till,1
instead,1
faulty,1
buildings,1
designer,1
tried,1
farm,1
southern,1
coming,1
dove,1
recovery,1
lifesaving,1
st,1
chief,1
upside,1
ambulance,1
wind,1
operations,1
feed,1
estuary,1
mission,1
installed,1
disabled,1
radar,1
london,1
pitch,1
airworthiness,1
rapidly,1
glide,1
la,1
inward,1
trying,1
torn,1
brook,1
late,1
platform,1
detected,1
mail,1
fin,1
lookout,1
combination,1
prevented,1
auto,1
break,1
effects,1
aborted,1
rotation,1
slats,1
maintaining,1
workload,1
ifr,1
l,1
transmission,1
transmitted,1
crossing,1
prevailing,1
stalling,1
weight,1
abnormal,1
mangled,1
oil,1
doors,1
navy,1
lympne,1
missed,1
factors,1
navigational,1
valve,1
photographichase,1
traffiservices,1
race,1
safety,1
got,1
debris,1
airframe,1
turning,1
disintegrated,1
sideways,1
approaches,1
thrust,1
attendant,1
lag,1
training,1
backwards,1
atc,1
g,1
standby,1
starts,1
moment,1
aboard,1
circuit,1
lighting,1
contingency,1
south,1
stewart,1
arterial,1
initial,1
mistakenly,1
disregarded,1
reached,1
message,1
engineer,1
city,1
management,1
erupted,1
white,1
final,1
cabin,1
paved,1
overshooting,1
collapse,1
quarry,1
explanation,1
accurately,1
selector,1
deteriorating,1
retraction,1
relative,1
ben,1
elstree,1
mersey,1
shower,1
determined,1
thorburn,1
raf,1
deciding,1
portsmouth,1
misjudgement,1
remained,1
ran,1
climbed,1
sas,1
apparently,1
emptying,1
vacant,1
forced,1
angle,1
built,1
laden,1
reliance,1
equipment,1
potential,1
checklist,1
impairment,1
atlantiocean,1
blades,1
maneuvering,1
combat,1
established,1
multiple,1
defence,1
plan,1
exercises,1
approved,1
visiblity,1
southampton,1
compressor,1
considered,1
camp,1
metal,1
brought,1
cieva,1
bordeaux,1
contacted,1
german,1
braking,1
fifty,1
hillside,1
attempts,1
unfeathered,1
bail,1
access,1
slow,1
securing,1
warton,1
outside,1
bust,1
difficulties,1
black,1
incapacitating,1
adequate,1
wearing,1
boniface,1
touch,1
means,1
stop,1
coast,1
aim,1
rest,1
despite,1
richards,1
years,1
boundary,1
requirement,1
distraction,1
