text,size
crashed,72
aircraft,49
plane,33
unknown,27
crew,25
flight,23
engine,21
altitude,20
approach,18
control,15
struck,14
airport,13
runway,13
mountain,12
pilot,12
lost,12
takeoff,11
failure,11
landing,10
land,10
cargo,9
killed,9
route,9
failed,9
loss,9
right,9
fog,9
france,8
high,8
miles,8
taking,8
collision,7
wing,7
crash,7
en,7
shot,7
ground,7
attempting,7
power,7
midair,7
mt,6
reported,6
broke,6
ft,6
accident,6
air,6
error,6
left,6
speed,6
weather,6
rate,5
french,5
started,5
flew,5
navigational,5
bourget,5
aboard,5
feet,5
trees,5
snowstorm,5
sea,5
shortly,5
anti,5
poor,5
field,5
caused,4
lack,4
level,4
descend,4
descended,4
door,4
attempt,4
soon,4
le,4
mode,4
went,4
cause,4
caught,4
causing,4
radio,4
conditions,4
descent,4
severe,4
emergency,4
propeller,4
lightning,4
nose,4
orly,4
area,4
mountains,4
time,4
paris,3
did,3
heading,3
design,3
crashing,3
climb,3
named,3
pyrenees,3
short,3
pitch,3
perpignan,3
heavy,3
maneuver,3
difficulty,3
thrust,3
invasion,3
message,3
final,3
cabin,3
gear,3
resulted,3
second,3
stall,3
angle,3
fuel,3
dc,3
lyon,3
jet,3
probably,3
ruptured,3
killing,3
normandy,3
reasons,3
engines,3
resulting,3
prescribed,3
descending,3
losing,3
collided,3
series,3
properly,3
inadequate,3
water,3
electrical,3
test,3
cessna,2
winds,2
improperly,2
tail,2
gasbags,2
activation,2
small,2
force,2
mediterranean,2
errors,2
protection,2
sending,2
flames,2
smoke,2
occurred,2
visibility,2
fly,2
f,2
making,2
history,2
aft,2
struggled,2
inappropriate,2
tried,2
dive,2
thunderstorm,2
alps,2
maintain,2
wind,2
course,2
passengers,2
outer,2
monitor,2
continued,2
stalled,2
mail,2
main,2
norway,2
split,2
bank,2
l,2
house,2
strip,2
extended,2
exceeded,2
training,2
atc,2
turn,2
american,2
south,2
mountainside,2
city,2
management,2
attack,2
storm,2
exploded,2
steep,2
lines,2
able,2
snow,2
mechanism,2
