text,size
crashed,67
aircraft,47
plane,29
pilot,26
approach,19
engine,18
crew,17
landing,17
control,16
runway,16
cargo,15
ground,14
takeoff,12
turn,12
loss,12
altitude,11
caused,10
airport,10
en,10
route,10
conditions,10
error,10
taking,10
failure,10
poor,10
ft,9
thunderstorm,9
high,8
short,8
attempt,8
heavy,8
flight,8
mountain,8
lost,8
weather,8
descended,7
visibility,7
stalled,7
failed,7
hit,7
miles,7
terrain,7
shortly,7
left,7
struck,7
right,7
power,7
flying,7
captain,6
unknown,6
steep,6
wing,6
fuel,6
dum,6
il,6
crash,6
low,6
land,6
lack,5
did,5
broke,5
wrong,5
course,5
prescribed,5
forced,5
attempting,5
accident,5
improper,5
air,5
descent,5
rain,5
severe,5
delhi,5
night,5
fog,5
attempted,5
rudder,4
hill,4
flames,4
lines,4
navigational,4
exploded,4
stall,4
trees,4
burned,4
height,4
climb,4
emergency,4
decision,4
area,4
setting,4
port,3
path,3
veered,3
use,3
following,3
making,3
fl,3
executed,3
attitude,3
return,3
flew,3
killed,3
went,3
cause,3
correct,3
aboard,3
leading,3
caught,3
final,3
tree,3
new,3
cleared,3
burst,3
result,3
sea,3
attributed,3
dropping,3
procedure,3
encountered,3
resulting,3
just,3
turbulence,3
hills,3
immediately,3
proper,3
instruments,3
resulted,3
valley,3
minutes,3
field,3
winds,2
experiencing,2
penetrated,2
errors,2
indian,2
supplies,2
exercise,2
led,2
water,2
reported,2
undershot,2
prior,2
military,2
navigation,2
named,2
trainee,2
arabian,2
separated,2
initiated,2
visual,2
minimum,2
ene,2
instead,2
dive,2
lighting,2
collision,2
maintain,2
order,2
soon,2
glide,2
non,2
structural,2
fully,2
mode,2
house,2
turning,2
cockpit,2
houses,2
pilots,2
feet,2
airborne,2
second,2
idle,2
false,2
mountainous,2
causing,2
position,2
clear,2
impact,2
factor,2
severing,2
vertical,2
edge,2
supply,2
village,2
loaded,2
maintenance,2
entered,2
inbound,2
instructor,2
tank,2
premature,2
situation,2
site,2
claimed,2
descend,2
used,2
temporary,2
director,2
contact,2
wreckage,2
taken,2
application,2
possibly,2
descending,2
continue,2
starvation,2
cashed,2
contributing,2
t,2
losing,2
banked,2
determine,2
bombay,2
electrical,2
midair,2
slope,1
customary,1
airspeed,1
facilities,1
mile,1
follow,1
flyby,1
poorly,1
subjected,1
grass,1
critical,1
careened,1
misunderstanding,1
malfunctioned,1
obviate,1
continued,1
believed,1
obstruction,1
upload,1
saudi,1
loads,1
japanese,1
likely,1
initiate,1
victor,1
rate,1
deliberate,1
fatigue,1
supplied,1
lights,1
rotor,1
toll,1
construction,1
movement,1
misjudged,1
leh,1
strong,1
interpret,1
extreme,1
exceptionally,1
action,1
jungled,1
narrow,1
encountering,1
uncommanded,1
followed,1
egypt,1
layer,1
illumination,1
indicated,1
working,1
altimeter,1
interception,1
vehicle,1
strike,1
type,1
flap,1
ejected,1
abandonment,1
equipped,1
occurred,1
carrying,1
unawareness,1
fly,1
tokyo,1
overloaded,1
stabilizer,1
divergent,1
windshear,1
gravity,1
downdrafts,1
india,1
inexperience,1
rainstorm,1
rig,1
sharp,1
information,1
monitoring,1
gusts,1
bungee,1
mismanagement,1
delay,1
faults,1
faulty,1
profile,1
inputs,1
nonavailability,1
tried,1
minimums,1
designed,1
end,1
horizontal,1
recovery,1
enter,1
subsequently,1
imphal,1
nearly,1
interpretation,1
reservoir,1
fasteners,1
pitch,1
japan,1
detected,1
degrees,1
covered,1
clearance,1
greater,1
cutting,1
half,1
rotation,1
slats,1
ifr,1
didn,1
slipping,1
monsoon,1
investigators,1
lifted,1
fuselage,1
hard,1
oil,1
entering,1
substantially,1
operation,1
slew,1
witness,1
irrational,1
missed,1
rigging,1
exploding,1
situational,1
overbanked,1
autopilot,1
centerline,1
highway,1
maneuver,1
shut,1
approached,1
bearing,1
ascending,1
formation,1
york,1
members,1
airway,1
region,1
publiroad,1
training,1
couldn,1
g,1
flare,1
days,1
w,1
misused,1
bicyclist,1
elevator,1
directly,1
carry,1
gaurishankar,1
little,1
management,1
district,1
recovered,1
thundersquall,1
gear,1
shallow,1
compressor,1
abandoning,1
fligth,1
b,1
procedural,1
overran,1
downdraft,1
responsible,1
snow,1
casual,1
fitting,1
blinding,1
blades,1
experienced,1
multiple,1
altimeters,1
normal,1
exercises,1
aerodrome,1
bounced,1
observation,1
later,1
km,1
hi,1
ordination,1
came,1
sector,1
impression,1
radio,1
rough,1
availability,1
indicator,1
knowledge,1
grazed,1
amritsar,1
detachment,1
riding,1
gauhati,1
awareness,1
familiar,1
conduct,1
mission,1
cracks,1
preparing,1
despite,1
report,1
procedures,1
regarding,1
resource,1
trucks,1
gears,1
approaching,1
respond,1
erroneous,1
reference,1
elected,1
officials,1
khasi,1
said,1
subsequent,1
unable,1
correctly,1
routine,1
avoidance,1
available,1
spars,1
missing,1
rolled,1
killing,1
gardanibagh,1
come,1
commands,1
installation,1
himalayas,1
feathering,1
ils,1
qfe,1
safely,1
load,1
minima,1
deviating,1
kiroli,1
overstressing,1
west,1
himalaysas,1
airlines,1
hitting,1
reduction,1
throttles,1
contributory,1
observe,1
understand,1
foggy,1
spin,1
case,1
thirty,1
near,1
seven,1
climbed,1
manoeuvring,1
engaged,1
surface,1
damaged,1
open,1
make,1
wheel,1
inadvertently,1
tops,1
hand,1
flown,1
moving,1
destruction,1
early,1
intermittent,1
restricted,1
nagpur,1
ocean,1
concrete,1
english,1
starboard,1
mid,1
assigned,1
nicknamed,1
violent,1
circling,1
touch,1
strayed,1
speed,1
clipper,1
death,1
workers,1
realize,1
instrument,1
spread,1
crack,1
gave,1
elevation,1
kulu,1
possible,1
judgement,1
bandi,1
partial,1
wings,1
signal,1
flaps,1
downward,1
reduced,1
suddenly,1
glare,1
people,1
powerlines,1
bounce,1
meters,1
undetected,1
patna,1
transport,1
momentary,1
outs,1
caribbean,1
trace,1
support,1
overcontrolling,1
dirzzle,1
seconds,1
destoying,1
disregard,1
leadership,1
qnh,1
permitted,1
stage,1
actual,1
carried,1
ghatkopar,1
aligning,1
insufficient,1
block,1
previously,1
guard,1
references,1
lok,1
collided,1
stuck,1
actuator,1
north,1
complete,1
trainees,1
forward,1
properly,1
sustained,1
pitched,1
true,1
partially,1
pull,1
devices,1
limit,1
stages,1
consumed,1
precipitated,1
passenger,1
associated,1
inadequate,1
unsafe,1
general,1
navy,1
warning,1
