text,size
crashed,60
aircraft,37
plane,35
weather,18
approach,16
runway,16
engine,15
land,15
ft,14
landing,14
mt,12
mountain,12
struck,12
attempting,11
flight,10
lost,10
poor,10
airport,9
pilot,9
route,8
en,8
conditions,8
minutes,8
altitude,7
unknown,7
taking,7
rain,7
left,7
crew,6
heavy,6
shortly,6
right,6
takeoff,5
cargo,5
went,5
failed,5
river,5
sea,5
did,4
flames,4
control,4
short,4
wing,4
feet,4
caught,4
overran,4
wreckage,4
swamp,4
trees,4
miles,4
burst,4
accident,4
crash,4
power,4
flying,4
field,4
captain,3
rudder,3
disconnected,3
experiencing,3
fence,3
haze,3
veered,3
named,3
visibility,3
broke,3
high,3
maintain,3
autofeather,3
autopilot,3
final,3
forced,3
mountainous,3
jakarta,3
terrain,3
water,3
engines,3
error,3
speed,3
scheduled,3
emergency,3
propeller,3
passenger,3
building,3
caused,2
returning,2
trouble,2
recorder,2
condition,2
rate,2
strong,2
passengers,2
descended,2
smoke,2
military,2
marginal,2
stated,2
separated,2
visual,2
believed,2
transportation,2
end,2
jungle,2
landed,2
stalled,2
good,2
return,2
feathered,2
valve,2
barrier,2
cockpit,2
turn,2
aboard,2
south,2
approximately,2
ditch,2
jet,2
shallow,2
steep,2
able,2
contact,2
normal,2
position,2
medan,2
ground,2
waiting,2
controls,2
rice,2
bad,2
approaching,2
national,2
missing,2
skidded,2
helicopter,2
applied,2
voice,2
make,2
oil,2
bali,2
moments,2
indonesian,2
descending,2
indication,2
reduced,2
contributing,2
disappeared,2
island,2
area,2
low,2
failure,2
problem,2
died,2
thunderstorms,2
surrounded,1
lack,1
mile,1
winds,1
follow,1
revealed,1
glimpse,1
uneven,1
technique,1
tail,1
th,1
kapur,1
suffered,1
include,1
cruising,1
rescue,1
mph,1
attemping,1
manado,1
continued,1
severely,1
clouds,1
investigator,1
accidentally,1
sank,1
charter,1
neighborhood,1
past,1
section,1
overshot,1
seconds,1
new,1
crashing,1
hanger,1
exercise,1
unsure,1
sampit,1
hours,1
reported,1
suicide,1
sink,1
yards,1
trafficontrol,1
luggage,1
published,1
climb,1
narrow,1
navigation,1
klabat,1
followed,1
suddenly,1
screens,1
drowned,1
gunung,1
lima,1
mentaya,1
saran,1
pitching,1
manufacturer,1
musi,1
flap,1
initiated,1
fly,1
join,1
hour,1
overloaded,1
plunged,1
roof,1
transparency,1
making,1
shook,1
climax,1
ambon,1
collision,1
minimum,1
rainstorm,1
jetliner,1
returned,1
awkward,1
afb,1
located,1
forest,1
beach,1
edinburgh,1
buildings,1
tried,1
wrong,1
fl,1
attempt,1
nosed,1
banks,1
wind,1
komawa,1
developed,1
despite,1
mission,1
kong,1
held,1
yogyakarta,1
committee,1
windshield,1
kalora,1
monitor,1
fix,1
juanda,1
plantation,1
degrees,1
listing,1
happened,1
safe,1
flew,1
course,1
bank,1
term,1
spigot,1
sentani,1
mulia,1
stopped,1
defects,1
directing,1
fires,1
madura,1
factors,1
restricted,1
interference,1
safety,1
cause,1
shut,1
garuda,1
burangrang,1
california,1
attendant,1
training,1
atc,1
collapsing,1
days,1
times,1
sumatran,1
pilots,1
mokmer,1
blown,1
thick,1
city,1
given,1
elevator,1
shifted,1
overshooting,1
gear,1
checklist,1
july,1
spoiler,1
timika,1
showed,1
double,1
likely,1
banana,1
project,1
flame,1
ruteng,1
pass,1
torque,1
lataboy,1
ditched,1
outbound,1
retracted,1
responsible,1
fitting,1
causing,1
atop,1
province,1
experienced,1
led,1
track,1
hudbay,1
clear,1
later,1
m,1
vfr,1
juwata,1
mechanical,1
came,1
threshold,1
surabaya,1
based,1
mamberamo,1
papandayan,1
plume,1
factor,1
fuel,1
hit,1
rest,1
compass,1
report,1
procedures,1
radar,1
gust,1
gergaji,1
parepare,1
precaution,1
seventeen,1
denpasair,1
result,1
close,1
jettisoning,1
automatidirection,1
jumped,1
unable,1
correctly,1
burned,1
solo,1
repaced,1
disagreed,1
killing,1
extent,1
hardover,1
torrential,1
safely,1
asked,1
nearby,1
minima,1
height,1
spotting,1
pcu,1
java,1
airliner,1
adfs,1
hitting,1
direction,1
wamena,1
external,1
angles,1
diverted,1
thirty,1
premature,1
air,1
abrupt,1
pressure,1
seven,1
manually,1
violently,1
dangerously,1
hong,1
surveillance,1
parts,1
descend,1
resulting,1
regime,1
tops,1
hand,1
bromo,1
mount,1
antenna,1
ntsb,1
severe,1
ringani,1
ravine,1
clearance,1
excessive,1
actions,1
identify,1
kilo,1
touch,1
houses,1
clipper,1
application,1
residential,1
cemetery,1
improvement,1
internal,1
board,1
clipped,1
finder,1
possible,1
using,1
execution,1
apart,1
volcanieruption,1
ifr,1
condtions,1
flaps,1
night,1
starvation,1
palu,1
elderly,1
meters,1
diving,1
transport,1
gradually,1
tube,1
arguing,1
fog,1
necessitating,1
nose,1
assembly,1
malfunctioning,1
midair,1
lose,1
broken,1
obscured,1
stage,1
pike,1
banked,1
papua,1
insufficient,1
destination,1
instruments,1
circled,1
dissenting,1
ridge,1
housing,1
start,1
mesehe,1
jury,1
attempted,1
brand,1
properly,1
gain,1
survived,1
trying,1
restarted,1
pitting,1
placed,1
strongly,1
aerial,1
steady,1
evidence,1
sebayak,1
incorrect,1
radioed,1
nm,1
sulaiman,1
rains,1
generally,1
bengawan,1
problems,1
windshear,1
peak,1
palembang,1
began,1
remote,1
required,1
denpassar,1
intentionally,1
