text,size
crashed,477
aircraft,284
plane,173
air,114
engine,104
taking,94
land,90
pilot,88
military,83
shot,78
mountain,76
struck,74
route,74
en,73
ft,73
flight,72
miles,71
killed,68
unknown,68
failure,66
ground,62
attempting,62
runway,55
flying,54
shortly,53
airport,53
crew,52
helicopter,52
poor,49
altitude,48
landing,48
weather,48
burned,45
sea,45
base,43
collision,41
takeoff,39
hit,39
lost,39
aboard,38
control,37
low,36
exploded,36
approach,35
emergency,33
flames,32
heavy,32
feet,32
midair,32
disappeared,31
area,31
error,30
conditions,30
force,29
rain,29
fighter,29
near,27
collided,27
minutes,27
visibility,26
left,25
failed,25
accident,24
wing,24
hill,24
fuel,24
caused,23
crash,23
terrain,22
turn,21
engines,21
right,21
fog,21
training,21
short,21
high,21
mt,20
field,20
broke,20
led,20
missile,20
carrying,20
f,20
flew,20
mid,20
mission,19
loss,19
north,19
planes,18
experiencing,18
stalled,18
cause,18
attempted,17
reported,16
just,16
crashing,16
airliner,16
jet,16
trees,16
dc,16
wooded,15
time,15
killing,15
rebels,15
navy,14
forces,14
make,14
caught,14
later,14
mountains,14
mountainous,14
unable,14
wreckage,14
transport,14
took,13
height,13
ocean,13
water,13
burst,13
anti,13
destination,13
approximately,13
rotor,13
returning,12
causing,12
descent,12
course,12
british,12
lightning,12
island,12
followed,12
return,12
pilots,12
occurred,12
surface,12
began,12
end,11
maintain,11
vfr,11
formation,11
snow,11
possible,11
descending,11
suffered,11
level,11
making,11
message,11
building,11
radar,11
members,11
enemy,11
c,11
nose,11
prepared,11
winds,11
exercise,11
thunderstorm,11
helicopters,11
south,11
ridge,11
radio,10
coast,10
civilian,10
speed,10
station,10
propeller,10
avoid,10
japanese,9
army,9
went,9
atc,9
houses,9
losing,9
p,9
west,9
river,9
troops,9
power,9
contact,9
afghan,9
maneuver,8
domestiflight,8
new,8
rebel,8
jungle,8
atlantiocean,8
performing,8
passenger,8
ship,8
fell,8
mile,8
icing,8
clouds,8
explosion,8
descended,8
sandstorm,8
main,8
climbing,8
airfield,8
personnel,8
peak,8
naval,8
position,8
km,8
missing,8
resulting,8
fatigue,8
final,8
safely,8
paratroopers,8
cashed,8
village,7
wind,7
structural,7
elevator,7
observed,7
possibly,7
night,7
french,7
overloaded,7
exploding,7
disintegrated,7
san,7
trace,7
soon,7
lack,7
tail,7
prior,7
safety,7
stall,7
preparing,7
distress,7
parachuted,7
gear,7
able,7
mechanical,7
adverse,7
turbulence,7
gain,7
thunderstorms,7
captain,6
cruising,6
faulty,6
wrong,6
attempt,6
safe,6
encountering,6
likely,6
ran,6
exercises,6
came,6
northeast,6
rice,6
bay,6
prescribed,6
board,6
people,6
officer,6
hour,6
did,6
cargo,6
passengers,6
following,6
fired,6
mountainside,6
city,6
destroyed,6
severe,6
bodies,6
survived,6
large,6
strong,6
landed,6
airplane,6
tried,6
attitude,6
navigational,6
iranian,6
reasons,6
wings,6
problems,6
summit,6
separation,6
cloud,6
approached,6
procedures,6
routine,6
northwest,6
reporting,6
overcast,6
school,5
climbed,5
seven,5
separated,5
airstrip,5
break,5
days,5
diverting,5
airship,5
disaster,5
maneuvers,5
appeared,5
aviation,5
tank,5
fighters,5
east,5
way,5
bomber,5
trouble,5
team,5
impacted,5
southern,5
non,5
half,5
drop,5
open,5
german,5
black,5
ranking,5
dived,5
region,5
instrument,5
instruments,5
paddy,5
included,5
small,5
rate,5
darkness,5
witnesses,5
taken,5
ejected,5
minimum,5
vincennes,5
england,5
airborne,5
storm,5
b,5
zero,5
experienced,5
clear,5
pacifiocean,5
decision,5
climb,5
started,5
destroying,5
boeing,5
degrees,5
covered,5
transmitted,5
reached,5
steep,5
border,5
years,5
sufficient,5
site,5
ravine,5
lake,5
aerobatics,5
pressure,5
problem,5
el,4
second,4
errors,4
smoke,4
blade,4
plunged,4
president,4
survivors,4
band,4
bank,4
john,4
pakistani,4
target,4
earth,4
participating,4
path,4
diverted,4
elevation,4
apart,4
civil,4
bound,4
fuselage,4
war,4
check,4
nm,4
holding,4
test,4
died,4
southwest,4
fly,4
parachute,4
dive,4
dove,4
st,4
bursting,4
place,4
national,4
wide,4
turned,4
cleared,4
slope,4
gulf,4
vertical,4
premature,4
strait,4
commander,4
evasive,4
rear,4
kennedy,4
twin,4
valley,4
trying,4
general,4
operation,4
m,4
remote,4
th,4
neighborhood,4
section,4
civilians,4
action,4
known,4
v,4
history,4
fl,4
ifr,4
malfunction,4
accidentally,4
cockpit,4
overran,4
ditched,4
snowstorm,4
defense,4
residential,4
point,4
gas,4
scheduled,4
flown,4
circling,4
judgement,4
d,4
obscured,4
tower,4
forward,4
rudder,4
indian,4
technical,4
leaving,4
windshear,4
slid,4
afb,4
forest,4
including,4
la,4
lt,4
practice,4
inverted,4
witness,4
tupolev,4
cabin,4
ignited,4
pattern,4
ramp,4
batumi,4
slammed,4
command,4
soviet,4
moments,4
clipped,4
lose,4
maintenance,4
men,3
strike,3
damage,3
earlier,3
japan,3
saigon,3
primary,3
raf,3
