text,size
crashed,2345
aircraft,2033
plane,1147
pilot,1003
flight,981
approach,807
runway,744
engine,726
failure,703
crew,684
landing,619
airport,517
weather,478
altitude,466
conditions,428
takeoff,428
mountain,416
control,397
unknown,383
taking,377
ground,375
land,371
struck,350
miles,343
route,308
attempting,302
left,301
ft,300
loss,273
fog,271
poor,271
accident,270
right,264
feet,264
en,261
fuel,255
shortly,253
lost,246
killed,242
failed,239
short,238
captain,226
flying,223
wing,222
power,222
low,216
terrain,213
error,200
emergency,199
descent,199
area,199
high,196
air,196
vfr,195
minutes,195
caused,193
trees,190
improper,171
rain,168
hit,167
sea,162
heavy,161
cause,154
did,154
water,151
crash,150
continued,143
turn,142
resulted,142
flew,141
broke,139
instrument,137
maintain,137
visibility,136
engines,135
speed,134
procedures,133
contributing,131
adverse,129
time,128
stalled,126
turbulence,125
final,123
helicopter,123
airplane,123
attempted,121
visual,120
gear,120
flames,120
attempt,118
descended,116
lack,115
severe,114
pilots,113
aboard,112
nose,111
decision,108
inadequate,108
ifr,107
field,104
icing,103
took,103
reported,102
night,102
passengers,100
course,100
collided,99
causing,98
resulting,98
landed,98
minimum,98
mountains,98
passenger,97
burned,96
stall,96
caught,95
collision,95
named,95
climb,94
hill,94
fatigue,93
near,93
led,91
undetermined,91
mt,91
make,90
making,86
went,84
wreckage,84
snow,83
following,81
reasons,81
attitude,80
possible,78
use,78
descending,78
propeller,77
dc,76
cargo,76
entered,76
atc,75
maintenance,75
steep,74
thunderstorm,73
position,73
cabin,73
factors,73
clearance,72
tried,72
mountainous,71
level,71
end,70
follow,70
return,70
burst,69
height,69
river,68
overran,68
forced,67
shot,67
radio,67
dive,66
cockpit,65
airspeed,65
procedure,65
warning,65
lake,64
later,64
contact,62
rate,62
exploded,62
safe,61
island,61
tail,59
ocean,59
fly,58
tower,58
midair,58
second,57
factor,57
ils,57
ran,57
clouds,57
avoid,56
elevator,56
north,56
fuselage,56
training,55
prescribed,55
fl,55
just,55
winds,55
came,54
missed,54
km,54
south,54
proper,54
ice,54
occurred,53
command,53
experienced,53
disappeared,53
radar,52
ditched,52
flaps,52
result,51
rudder,51
operation,50
properly,50
separation,50
excessive,50
city,49
action,49
thrust,49
adequate,49
aborted,49
approximately,49
bank,48
strong,48
windshear,48
impact,47
insufficient,47
international,47
main,47
navigational,47
instruments,46
airliner,45
unable,45
explosion,45
lights,45
cessna,45
destination,45
controls,45
leading,45
bomb,44
lines,44
thunderstorms,44
disorientation,44
rolled,43
rest,43
decided,43
planning,43
wooded,42
overloaded,42
separated,42
design,42
new,42
oil,42
began,42
crashing,41
condition,41
door,41
jet,41
recovery,41
stop,41
tank,41
rotor,41
followed,41
structural,40
impacted,40
determined,40
peak,40
clear,40
used,40
pitch,40
seconds,40
center,40
officer,40
tree,39
east,39
san,39
initiated,39
approaching,39
wings,39
degrees,39
non,39
able,39
mile,39
electrical,39
path,39
maneuver,39
losing,38
prior,38
positioning,38
line,38
carrying,38
smoke,38
building,38
cloud,38
reference,38
killing,38
climbing,38
jungle,38
slope,38
canyon,37
diverted,37
turned,37
west,37
inverted,37
bay,37
point,37
ridge,37
ceiling,37
inadvertent,37
storm,37
instead,37
safely,37
wrong,36
spatial,36
sank,36
continue,36
experiencing,36
members,36
encountered,36
destroyed,36
nm,36
incorrect,36
range,36
touched,35
roll,35
flightcrew,35
available,35
observed,35
meteorological,35
immediately,35
normal,35
company,35
subsequent,35
faa,35
allowed,34
trouble,34
reduced,34
navigation,34
possibly,33
descend,33
half,33
rear,33
trying,33
monitor,33
problems,33
light,33
wind,32
hours,32
clipper,32
airborne,32
forward,32
premature,32
known,32
detonation,32
malfunction,32
striking,31
having,31
banked,31
witnesses,31
soon,31
surface,31
force,31
threshold,31
days,31
sufficient,31
forest,30
explosive,30
problem,30
t,30
safety,30
inspection,30
started,30
dense,30
died,30
suffered,30
critical,30
reverse,30
trim,30
direction,30
rising,30
suddenly,30
departure,30
spin,29
open,29
houses,29
required,29
heading,29
fell,29
aft,29
returning,29
cleared,29
damage,28
st,28
small,28
past,28
shut,28
applied,28
starvation,28
northeast,28
seat,28
lightning,28
extended,28
port,28
altimeter,28
stabilizer,28
angle,28
hold,27
blade,27
pressure,27
distance,27
correct,27
planes,27
la,27
imc,27
scheduled,27
encountering,26
dark,26
improperly,26
sightseeing,26
slid,26
way,26
holding,26
equipment,26
pitched,26
veered,26
type,26
covered,26
m,26
attempts,26
initial,26
performance,26
operating,26
snowstorm,26
maneuvering,25
survived,25
vor,25
device,25
placed,25
heard,25
fence,25
starboard,25
exceeded,25
reaching,25
gain,25
running,25
house,25
hard,25
hillside,25
judgement,25
gravity,25
flown,25
leaving,25
shallow,25
uncontrollable,25
misjudged,24
pull,24
information,24
away,24
mountainside,24
recover,24
probable,24
probably,24
ditch,24
maintained,24
n,24
uncontrolled,24
check,24
weight,24
degree,24
autopilot,24
elevation,23
people,23
vertical,23
malfunctioning,23
section,23
message,23
reason,23
