text,size
crashed,170
aircraft,91
plane,83
crew,44
approach,44
runway,39
landing,35
takeoff,33
flight,32
ground,27
land,26
engine,25
pilot,24
taking,23
failure,22
weather,21
poor,21
airport,20
short,20
unknown,19
attempting,18
mountain,17
shortly,17
broke,15
left,15
control,14
ft,14
cargo,14
lost,14
altitude,14
error,13
struck,13
icing,12
high,12
crash,12
killed,12
fuel,12
miles,12
air,12
descent,12
right,12
visibility,11
stalled,11
fog,11
power,11
caused,10
fl,10
heavy,10
engines,10
airliner,10
helicopter,10
flames,10
emergency,10
led,9
descended,9
collision,9
en,9
route,9
caught,9
causing,9
km,9
burned,9
flying,9
midair,9
military,8
aboard,8
m,8
failed,8
conditions,8
field,8
russian,8
minutes,8
captain,7
landed,7
wing,7
snow,7
trees,7
accident,7
rain,7
area,7
reported,6
carrying,6
went,6
training,6
atc,6
turn,6
gear,6
moscow,6
height,6
seconds,6
time,6
overloaded,5
rate,5
making,5
forest,5
radar,5
burst,5
sea,5
premature,5
contact,5
soviet,5
descending,5
loss,5
controllers,5
decision,5
hard,5
line,5
warning,5
fighter,5
malfunctioning,5
lack,4
nose,4
mi,4
separation,4
stabilizer,4
lines,4
aborted,4
bank,4
structural,4
investigation,4
tupolev,4
striking,4
approximately,4
exploded,4
overran,4
angle,4
attempts,4
hit,4
course,4
set,4
artificial,4
entered,4
spin,4
began,4
oscillations,4
ice,4
reaching,4
irkutsk,4
night,4
uncontrolled,4
passenger,4
visual,4
improperly,3
wooded,3
level,3
past,3
make,3
undershot,3
climbed,3
destination,3
tail,3
separated,3
flap,3
occurred,3
starter,3
plunged,3
antonov,3
low,3
end,3
detonation,3
tried,3
dive,3
wrong,3
baggage,3
degrees,3
happened,3
flew,3
did,3
year,3
autopilot,3
pilots,3
feet,3
elevator,3
took,3
resulted,3
attempt,3
second,3
procedural,3
mountainous,3
fuselage,3
pulled,3
aileron,3
later,3
shot,3
radio,3
earth,3
pitched,3
operational,3
black,3
compass,3
bad,3
river,3
snowstorm,3
seat,3
decided,3
turbine,3
crashing,3
rolled,3
near,3
flamed,3
return,3
descend,3
mid,3
speed,3
rapid,3
vibration,3
clipped,3
turbulence,3
apart,3
starvation,3
transport,3
altimeter,3
carried,3
extension,3
horizon,3
old,3
attempted,3
survived,3
pull,3
electrical,3
roll,3
authorities,3
building,3
winds,2
revealed,2
misread,2
tu,2
rudder,2
cruising,2
tupolov,2
continued,2
transmission,2
experiencing,2
accidentally,2
neighborhood,2
maneuver,2
design,2
governor,2
errors,2
section,2
krasnoyarsk,2
international,2
water,2
path,2
strong,2
prior,2
climb,2
suddenly,2
marker,2
type,2
initiated,2
hold,2
windshear,2
monitoring,2
allowed,2
handle,2
regions,2
glinka,2
deviated,2
fatigue,2
horizontal,2
dove,2
lifting,2
forced,2
despite,2
pitch,2
outer,2
late,2
communication,2
covered,2
break,2
fired,2
weight,2
mda,2
group,2
oil,2
cause,2
