9/17/1908,17:18,Fort Myer,United States,Military - U.S. Army,Demonstration,Wright Flyer III,Wright Flyer III,2,1,"during a demonstration flight, a u.s. army flyer flown by orville wright nose-dived into the ground from a height of approximately 75 feet, killing lt. thomas e. selfridge who was a passenger. this was the first recorded airplane fatality in history.  one of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  orville wright suffered broken ribs, pelvis and a leg.  selfridge suffered a crushed skull and died a short time later.",Military
7/12/1912,6:30,AtlantiCity,United States,Military - U.S. Navy,Test flight,Dirigible,Dirigible,5,5,"first u.s. dirigible akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",Military
8/6/1913,0:00,Victoria,Canada,Private,unknown,Curtiss seaplane,Curtiss seaplane,1,1,"the first fatal airplane accident in canada occurred when american barnstormer, john m. bryant, california aviator was killed.",Passenger
9/9/1913,18:30,Over the North Sea,Over the North Sea,Military - German Navy,unknown,Zeppelin L-1 (airship),Zeppelin,20,14,the airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of helgoland island into the sea. the ship broke in two and the control car immediately sank drowning its occupants.,Military
10/17/1913,10:30,Johannisthal,Germany,Military - German Navy,unknown,Zeppelin L-2 (airship),Zeppelin,30,30,"hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",Military
3/5/1915,1:00,Tienen,Belgium,Military - German Navy,unknown,Zeppelin L-8 (airship),Zeppelin,41,21,crashed into trees while attempting to land after being shot down by british and french aircraft.,Military
9/3/1915,15:20,Off Cuxhaven,Germany,Military - German Navy,unknown,Zeppelin L-10 (airship),Zeppelin,19,19,"exploded and burned near neuwerk island,  when hydrogen gas, being vented, was ignited by lightning.",Military
7/28/1916,0:00,Jambol,Bulgeria,Military - German Army,unknown,Schutte-Lanz S-L-10 (airship),Schutte-Lanz,20,20,"crashed near the black sea, cause unknown.",Military
9/24/1916,1:00,Billericay,England,Military - German Navy,unknown,Zeppelin L-32 (airship),Zeppelin,22,22,shot down by british aircraft crashing in flames.,Military
10/1/1916,23:45,Potters Bar,England,Military - German Navy,unknown,Zeppelin L-31 (airship),Zeppelin,19,19,shot down in flames by the british 39th home defence squadron.,Military
11/21/1916,0:00,Mainz,Germany,Military - German Army,unknown,Super Zeppelin (airship),Super Zeppelin,28,27,crashed in a storm.,Military
11/28/1916,23:45,Off West Hartlepool,England,Military - German Navy,unknown,Zeppelin L-34 (airship),Zeppelin,20,20,shot down by british anti-aircraft fire and aircraft and crashed into the north sea.,Military
3/4/1917,0:00,Gent,Belgium,Military - German Army,unknown,Airship,Airship,20,20,caught fire and crashed.,Military
3/30/1917,0:00,Off Northern Germany,Germany,Military - German Navy,unknown,Schutte-Lanz S-L-9 (airship),Schutte-Lanz,23,23,struck by lightning and crashed into the baltisea.,Military
5/14/1917,5:15,Texel Island,North Sea,Military - German Navy,unknown,Zeppelin L-22 (airship),Zeppelin,21,21,"crashed into the sea from an altitude of 3,000 ft. after being hit by british aircraft fire.",Military
6/14/1917,8:45,Off Vlieland Island,North Sea,Military - German Navy,unknown,Zeppelin L-43 (airship),Zeppelin,24,24,shot down by british aircraft.,Military
8/21/1917,7:00,Off western Denmark,Denmark,Military - German Navy,unknown,Zeppelin L-23 (airship),Zeppelin,18,18,shot down by british aircraft.,Military
10/20/1917,7:45,Luneville,France,Military - German Navy,unknown,Zeppelin L-44 (airship),Zeppelin,18,18,shot down by french anti-aircraft fire.,Military
4/7/1918,21:30,Over the Mediterranean,Over the Mediterranean,Military - German Navy,unknown,Zeppelin L-59 (airship),Zeppelin,23,23,exploded and crashed into the sea off the southern coast of italy.,Military
5/10/1918,0:00,Off Helgoland Island,Germany,Military - German Navy,unknown,Zeppelin L-70 (airship),Zeppelin,22,22,"shot down by british aircraft crashing from a height of 17,000 ft.",Military
8/11/1918,10:00,Ameland Island,North Sea,Military - German Navy,unknown,Zeppelin L-53 (airship),Zeppelin,19,19,shot down by british aircraft.,Military
12/16/1918,0:00,Elizabeth,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
5/25/1919,0:00,Cleveland,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,caught fire in midair. the pilot leaped from the plane to his death as the plane began to go into a dive.,Cargo/Service
7/19/1919,0:00,Dix Run,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
10/2/1919,0:00,Newcastle,England,Aircraft Transport and Travel,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Passenger
10/14/1919,0:00,Cantonsville,United States,US Aerial Mail Service,unknown,Curtiss R-4LM,Curtiss,1,1,unknown,Cargo/Service
10/20/1919,0:00,English Channel,English Channel,Aircraft Transport and Travel,unknown,De Havilland DH-4,De Havilland,0,0,unknown,Passenger
10/30/1919,0:00,Long Valley,United States,US Aerial Mail Service,unknown,De Havilland DH.4,De Havilland,1,1,unknown,Cargo/Service
3/10/1920,0:00,New Paris,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
3/30/1920,0:00,Newark,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
4/10/1920,0:00,Newark,United States,US Aerial Mail Service,unknown,Curtiss R-4LM,Curtiss,2,1,unknown,Cargo/Service
4/11/1920,0:00,Heller Field,United States,US Aerial Mail Service,unknown,Curtiss JN-4H,Curtiss,2,1,unknown,Cargo/Service
5/12/1920,0:00,Oskaloosa,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,2,1,unknown,Cargo/Service
6/6/1920,0:00,Cleveland,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
8/16/1920,0:00,Bedford,England,By Air,unknown,Armstrong-Whitworth F-K-8,Armstrong-Whitworth,1,1,unknown,Passenger
8/16/1920,0:00,College Park,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
9/1/1920,0:00,Morristown,United States,US Aerial Mail Service,unknown,Junkers JL-6,Junkers,2,2,unknown,Cargo/Service
9/15/1920,0:00,Pemberville,United States,US Aerial Mail Service,unknown,Junkers F-13,Junkers,2,2,unknown,Cargo/Service
9/27/1920,0:00,Hillersburg,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
10/2/1920,0:00,Off Port Vendres,France,Latecoere Airlines,unknown,Salmson 2-A-2,Salmson,2,2,unknown,Passenger
10/5/1920,0:00,Valencia,Spain,Latecoere Airlines,unknown,Breguet 14,Breguet,2,2,crashed while landing.,Passenger
10/15/1920,0:00,Batavia,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
11/7/1920,0:00,Tie Siding,United States,US Aerial Mail Service,unknown,De Havilland DH-4,De Havilland,1,1,unknown,Cargo/Service
12/14/1920,0:00,Cricklewood,England,Handley Page Transport,unknown,Handley Page HP-16,Handley Page,8,4,crashed into a tree on take off in fog.,Passenger
12/24/1920,0:00,Barcelona,Spain,Aeropostale,unknown,Breguet 14,Breguet,1,1,unknown,Passenger
