text,size
aircraft,870
crashed,842
pilot,658
flight,618
plane,547
failure,479
approach,389
engine,330
conditions,283
runway,280
crew,277
altitude,271
weather,248
control,241
landing,234
airport,221
accident,207
terrain,190
takeoff,187
ground,180
loss,172
low,163
struck,160
miles,159
vfr,155
feet,155
left,154
improper,153
mountain,150
maintain,149
land,147
killed,145
airplane,145
attempting,144
ft,138
trees,138
failed,137
right,136
cargo,135
taking,132
fog,131
fuel,129
air,128
descent,128
contributing,125
adverse,123
continued,122
captain,121
instrument,121
flying,118
area,118
wing,115
resulted,115
route,115
power,112
unknown,108
emergency,105
en,101
lost,100
procedures,99
high,95
short,94
inadequate,94
helicopter,90
caused,90
collided,89
night,87
water,87
poor,84
factors,83
collision,83
undetermined,81
clearance,79
ifr,78
decision,78
shortly,77
pilots,77
speed,76
cause,76
resulting,75
turn,74
stall,74
turbulence,74
snow,73
nose,72
flew,72
icing,71
rain,70
hit,69
reasons,68
attempted,67
aboard,66
lack,66
maintenance,66
time,65
visual,64
engines,62
dc,61
fatigue,61
did,60
severe,58
climb,57
final,57
field,55
use,55
took,54
visibility,54
stalled,54
course,53
command,52
operation,51
factor,51
propeller,51
airspeed,51
minimum,50
burned,50
crash,50
minutes,50
heavy,49
position,49
flames,48
attitude,48
near,47
make,47
level,46
gear,46
avoid,46
reported,45
adequate,45
ils,45
canyon,45
making,45
mountainous,45
planning,45
descended,43
led,43
following,43
elevator,42
impacted,42
training,42
thunderstorm,42
ceiling,41
broke,41
proper,41
ice,40
follow,40
steep,40
lake,40
entered,39
inadvertent,39
cessna,39
midair,39
attempt,38
passenger,37
landed,37
rudder,37
end,36
went,36
descending,36
condition,36
approximately,36
rate,36
flightcrew,36
properly,36
disorientation,35
bank,35
atc,35
error,35
dark,35
procedure,34
passengers,34
south,34
rotor,34
causing,33
radio,33
fly,33
faa,33
door,33
missed,33
warning,33
separation,33
occurred,33
result,32
rising,32
action,32
recovery,31
flaps,31
company,31
excessive,31
came,30
officer,30
dive,30
mail,30
san,30
spatial,30
departure,30
return,30
inspection,30
experienced,30
just,29
east,29
tail,29
continue,29
wooded,28
new,28
observed,28
unable,28
caught,28
burst,28
meteorological,28
known,28
sufficient,28
center,28
main,27
maneuver,27
later,27
followed,27
hill,27
planes,27
began,27
ridge,27
thunderstorms,27
safe,26
forced,26
possible,26
suffered,26
prior,26
tried,26
available,26
wings,26
mountains,26
imc,25
design,25
clouds,25
city,25
maneuvering,25
radar,25
cockpit,25
jet,25
controls,25
wreckage,25
separated,24
rolled,24
height,24
initial,24
international,24
pitch,24
